"Data";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"248 x 18092";"1";"0.82258064516129";"0.421052631578947";"1";"0.029820986588796";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 18092";"1";"0.903225806451613";"0.75";"2";"0.0342407663663228";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 18092";"1";"0.919354838709677";"0.8";"3";"0.030921733379364";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 18092";"1";"0.919354838709677";"0.8";"4";"0.0296708504358927";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 18092";"1";"0.903225806451613";"0.75";"5";"0.0299877802530924";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 17468";"0.979452054794521";"0.942857142857143";"0.939393939393939";"1";"0.039127516746521";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 17468";"0.979452054794521";"1";"1";"2";"0.0348744988441467";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"COAD";"281 x 17468";"0.993197278911565";"1";"1";"3";"0.0428300857543945";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"COAD";"279 x 17468";"0.993150684931507";"1";"1";"4";"0.039127516746521";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 17468";"0.979591836734694";"1";"1";"5";"0.0376598358154297";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 19812";"1";"0.833333333333333";"0";"1";"0.0160109678904215";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 19812";"1";"0.875";"0.4";"2";"0.0155609528223674";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"ESCA";"96 x 19812";"1";"0.84";"0";"3";"0.0161277651786804";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 19812";"1";"0.833333333333333";"0";"4";"0.0151103337605794";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 19812";"1";"0.875";"0.4";"5";"0.0183295488357544";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"HNSC";"330 x 16901";"1";"0.950617283950617";"0.894736842105263";"1";"0.0348581512769063";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"HNSC";"329 x 16901";"1";"0.951219512195122";"0.894736842105263";"2";"0.0334068338076274";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"HNSC";"329 x 16901";"1";"0.926829268292683";"0.842105263157895";"3";"0.0334902167320251";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"HNSC";"328 x 16901";"1";"0.867469879518072";"0.666666666666667";"4";"0.034023916721344";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"HNSC";"328 x 16901";"1";"0.91566265060241";"0.810810810810811";"5";"0.0390110810597738";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRC";"258 x 17843";"0.994047619047619";"0.984375";"0.976744186046512";"1";"0.0305050849914551";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRC";"258 x 17843";"1";"0.984375";"0.977777777777778";"2";"0.029820982615153";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRC";"258 x 17843";"0.994047619047619";"0.984375";"0.976744186046512";"3";"0.0280861179033915";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRC";"257 x 17843";"0.994047619047619";"0.984615384615385";"0.977777777777778";"4";"0.0281698187192281";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRC";"257 x 17843";"0.994047619047619";"1";"1";"5";"0.0273859302202861";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRP";"200 x 24993";"1";"0.918367346938776";"0.833333333333333";"1";"0.0297375837961833";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 24993";"0.993055555555556";"0.92";"0.833333333333333";"2";"0.0300544659296672";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 24993";"0.993055555555556";"0.94";"0.88";"3";"0.031038498878479";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 24993";"0.986111111111111";"0.82";"0.526315789473684";"4";"0.0302212993303935";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 24993";"0.993055555555556";"0.96";"0.923076923076923";"5";"0.0306885480880737";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LIHC";"239 x 16457";"1";"0.949152542372881";"0.909090909090909";"1";"0.0267691334088643";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LIHC";"238 x 16457";"0.987730061349693";"0.95";"0.914285714285714";"2";"0.0282865166664124";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LIHC";"239 x 16457";"0.99390243902439";"0.898305084745763";"0.8125";"3";"0.0265853683153788";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LIHC";"238 x 16457";"0.993865030674847";"0.983333333333333";"0.972972972972973";"4";"0.0269856333732605";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LIHC";"238 x 16457";"0.993865030674847";"0.8";"0.571428571428571";"5";"0.0268354972203573";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LGG";"363 x 17367";"1";"1";"1";"1";"0.0388940334320068";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LGG";"363 x 17367";"1";"1";"1";"2";"0.0383602499961853";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LGG";"363 x 17367";"1";"1";"1";"3";"0.0404621005058289";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LGG";"363 x 17367";"1";"1";"1";"4";"0.0378099004427592";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LGG";"364 x 17367";"1";"1";"1";"5";"0.0395778179168701";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUAD";"340 x 18551";"1";"1";"1";"1";"0.0372765342394511";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUAD";"339 x 18551";"1";"0.988235294117647";"0.989010989010989";"2";"0.0406118830045064";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUAD";"339 x 18551";"1";"1";"1";"3";"0.0439475655555725";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUAD";"339 x 18551";"1";"1";"1";"4";"0.0373766183853149";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUAD";"339 x 18551";"1";"1";"1";"5";"0.0376434644063314";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUSC";"293 x 18433";"1";"1";"1";"1";"0.0323724508285522";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUSC";"292 x 18433";"1";"0.945205479452055";"0.882352941176471";"2";"0.0328397194544474";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUSC";"293 x 18433";"1";"0.986111111111111";"0.972972972972973";"3";"0.0325729330380758";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUSC";"291 x 18433";"1";"0.878378378378378";"0.709677419354839";"4";"0.0318721652030945";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"LUSC";"291 x 18433";"1";"0.972972972972973";"0.947368421052632";"5";"0.0336739659309387";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"PAAD";"114 x 17392";"1";"0.857142857142857";"0.8";"1";"0.0164448976516724";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"PAAD";"113 x 17392";"1";"1";"1";"2";"0.0163781801859538";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"PAAD";"114 x 17392";"0.984848484848485";"0.964285714285714";"0.96";"3";"0.0162781159083049";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"PAAD";"113 x 17392";"1";"1";"1";"4";"0.0174959699312846";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"PAAD";"114 x 17392";"0.96969696969697";"0.928571428571429";"0.909090909090909";"5";"0.0164949178695679";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SARC";"148 x 17755";"0.941176470588235";"0.914285714285714";"0.918918918918919";"1";"0.0204814155896505";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SARC";"146 x 17755";"0.82089552238806";"0.945945945945946";"0.952380952380952";"2";"0.0196971853574117";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SARC";"146 x 17755";"0.895522388059702";"0.837837837837838";"0.857142857142857";"3";"0.0206144650777181";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SARC";"146 x 17755";"0.880597014925373";"0.864864864864865";"0.871794871794872";"4";"0.0239998857180278";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SARC";"146 x 17755";"0.895522388059702";"0.891891891891892";"0.888888888888889";"5";"0.0213650345802307";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SKCM";"211 x 17493";"0.984251968503937";"0.962264150943396";"0.952380952380952";"1";"0.0261013666788737";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SKCM";"212 x 17493";"0.9921875";"0.942307692307692";"0.923076923076923";"2";"0.0271190841992696";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SKCM";"211 x 17493";"1";"0.962264150943396";"0.95";"3";"0.027269184589386";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SKCM";"211 x 17493";"0.976377952755906";"0.962264150943396";"0.95";"4";"0.025601331392924";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"SKCM";"211 x 17493";"0.992125984251969";"0.962264150943396";"0.95";"5";"0.0269359191258748";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"STAD";"227 x 20315";"0.992805755395683";"1";"1";"1";"0.0306882659594218";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"STAD";"227 x 20315";"1";"0.947368421052632";"0.926829268292683";"2";"0.0304550647735596";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"STAD";"227 x 20315";"1";"0.964912280701754";"0.952380952380952";"3";"0.0293039162953695";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"STAD";"227 x 20315";"1";"0.982456140350877";"0.976744186046512";"4";"0.0300711313883464";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
"STAD";"228 x 20315";"1";"1";"1";"5";"0.0298876841862996";"clin_1__cnv_0.005__rna_0.75__mirna_0.025__mutation_0.025";"12345"
