"Data";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"248 x 23862";"1";"0.82258064516129";"0.421052631578947";"1";"0.033356769879659";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 23862";"1";"0.935483870967742";"0.846153846153846";"2";"0.0329064687093099";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 23862";"1";"0.870967741935484";"0.636363636363636";"3";"0.0335235834121704";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 23862";"1";"0.967741935483871";"0.928571428571429";"4";"0.0353751659393311";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 23862";"1";"0.870967741935484";"0.636363636363636";"5";"0.0391945521036784";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 23020";"1";"0.971428571428571";"0.96875";"1";"0.0383269508679708";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 23020";"0.986301369863014";"1";"1";"2";"0.0373929818471273";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"COAD";"281 x 23020";"0.986394557823129";"1";"1";"3";"0.0367427825927734";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"COAD";"279 x 23020";"0.993150684931507";"0.985915492957746";"0.985074626865672";"4";"0.0369425972302755";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 23020";"0.986394557823129";"1";"1";"5";"0.0392942825953166";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 26186";"1";"0.833333333333333";"0";"1";"0.0199140350023905";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 26186";"1";"0.875";"0.4";"2";"0.0183629353841146";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"ESCA";"96 x 26186";"1";"0.84";"0";"3";"0.0183628996213277";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 26186";"1";"0.833333333333333";"0";"4";"0.0205811659495036";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 26186";"1";"0.875";"0.4";"5";"0.0195804158846537";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"HNSC";"330 x 22281";"1";"0.975308641975309";"0.95";"1";"0.040378733476003";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"HNSC";"329 x 22281";"1";"0.963414634146341";"0.923076923076923";"2";"0.0450486302375793";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"HNSC";"329 x 22281";"1";"0.939024390243902";"0.871794871794872";"3";"0.0383272647857666";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"HNSC";"328 x 22281";"1";"0.927710843373494";"0.842105263157895";"4";"0.0438475012779236";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"HNSC";"328 x 22281";"1";"0.939759036144578";"0.871794871794872";"5";"0.0433140834172567";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRC";"258 x 23586";"0.994047619047619";"0.984375";"0.976744186046512";"1";"0.0332070032755534";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRC";"258 x 23586";"1";"0.96875";"0.954545454545455";"2";"0.0335572481155395";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRC";"258 x 23586";"0.994047619047619";"0.984375";"0.976744186046512";"3";"0.0355586489041646";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRC";"257 x 23586";"0.988095238095238";"0.984615384615385";"0.977777777777778";"4";"0.0331066489219666";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRC";"257 x 23586";"0.994047619047619";"1";"1";"5";"0.0341075976689657";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRP";"200 x 33124";"0.993055555555556";"0.897959183673469";"0.782608695652174";"1";"0.0380267143249512";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 33124";"0.972222222222222";"0.88";"0.727272727272727";"2";"0.0367255171140035";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 33124";"0.986111111111111";"0.92";"0.833333333333333";"3";"0.0367925802866618";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 33124";"0.986111111111111";"0.86";"0.666666666666667";"4";"0.0422794143358866";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 33124";"0.979166666666667";"0.94";"0.88";"5";"0.038927698135376";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"LIHC";"239 x 21705";"1";"0.966101694915254";"0.941176470588235";"1";"0.0325893680254618";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
"LIHC";"238 x 21705";"1";"1";"1";"2";"0.036475670337677";"clin_1__cnv_0.005__rna_1__mirna_0.025__mutation_0.025";"12345"
