"Data";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"248 x 42850";"1";"0.838709677419355";"0.5";"1";"0.0476504842440287";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"BLCA";"248 x 42850";"1";"0.838709677419355";"0.5";"2";"0.0499184012413025";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"BLCA";"248 x 42850";"1";"0.838709677419355";"0.5";"3";"0.049101181825002";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"BLCA";"248 x 42850";"1";"0.903225806451613";"0.75";"4";"0.0525038997332255";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"BLCA";"248 x 42850";"0.99468085106383";"0.838709677419355";"0.5";"5";"0.0499687472979228";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"COAD";"280 x 43093";"0.986301369863014";"0.942857142857143";"0.9375";"1";"0.0605425516764323";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"COAD";"280 x 43093";"0.986301369863014";"1";"1";"2";"0.056223185857137";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"COAD";"281 x 43093";"0.986394557823129";"1";"1";"3";"0.0623271306355794";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"COAD";"279 x 43093";"0.965753424657534";"1";"1";"4";"0.0530206362406413";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"COAD";"280 x 43093";"0.986394557823129";"1";"1";"5";"0.0557895143826803";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"ESCA";"97 x 41713";"1";"0.833333333333333";"0";"1";"0.0345746477444967";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"ESCA";"97 x 41713";"1";"0.875";"0.4";"2";"0.0266354004542033";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"ESCA";"96 x 41713";"1";"0.84";"0";"3";"0.0280196825663249";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"ESCA";"97 x 41713";"1";"0.833333333333333";"0";"4";"0.0274693171183268";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"ESCA";"97 x 41713";"1";"0.875";"0.4";"5";"0.031489102045695";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"HNSC";"330 x 40448";"1";"0.950617283950617";"0.894736842105263";"1";"0.068164853254954";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"HNSC";"329 x 40448";"1";"0.939024390243902";"0.864864864864865";"2";"0.0606760819753011";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"HNSC";"329 x 40448";"1";"0.926829268292683";"0.842105263157895";"3";"0.0611429651578267";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"HNSC";"328 x 40448";"1";"0.843373493975904";"0.580645161290323";"4";"0.0550884485244751";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"HNSC";"328 x 40448";"1";"0.903614457831325";"0.777777777777778";"5";"0.0567902366320292";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"KIRC";"258 x 36010";"0.994047619047619";"0.984375";"0.976744186046512";"1";"0.0449649492899577";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"KIRC";"258 x 36010";"1";"0.984375";"0.977777777777778";"2";"0.0475330988566081";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"KIRC";"258 x 36010";"0.994047619047619";"0.96875";"0.952380952380952";"3";"0.0437137484550476";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"KIRC";"257 x 36010";"0.994047619047619";"0.984615384615385";"0.977777777777778";"4";"0.0452651500701904";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"KIRC";"257 x 36010";"0.994047619047619";"0.969230769230769";"0.954545454545454";"5";"0.0432139992713928";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"KIRP";"200 x 45022";"1";"0.959183673469388";"0.923076923076923";"1";"0.0451817671457926";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"KIRP";"199 x 45022";"0.986111111111111";"0.86";"0.666666666666667";"2";"0.0433971643447876";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"KIRP";"199 x 45022";"0.993055555555556";"0.92";"0.833333333333333";"3";"0.0443645000457764";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"KIRP";"199 x 45022";"0.986111111111111";"0.84";"0.6";"4";"0.0448484500249227";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"KIRP";"199 x 45022";"0.993055555555556";"0.94";"0.88";"5";"0.0438471992810567";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"LIHC";"239 x 37988";"1";"0.966101694915254";"0.941176470588235";"1";"0.0430472493171692";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"LIHC";"238 x 37988";"0.987730061349693";"0.933333333333333";"0.882352941176471";"2";"0.0442981680234273";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"LIHC";"239 x 37988";"1";"0.932203389830508";"0.888888888888889";"3";"0.0439642349878947";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"LIHC";"238 x 37988";"1";"0.933333333333333";"0.882352941176471";"4";"0.0468833009401957";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"LIHC";"238 x 37988";"1";"0.833333333333333";"0.642857142857143";"5";"0.047133465607961";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"LGG";"363 x 36624";"0.994949494949495";"1";"1";"1";"0.0636113842328389";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"LGG";"363 x 36624";"0.994949494949495";"0.978021978021978";"0.975609756097561";"2";"0.0639616330464681";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"LGG";"363 x 36624";"1";"0.989010989010989";"0.987654320987654";"3";"0.0598921338717143";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"LGG";"363 x 36624";"1";"0.989010989010989";"0.987951807228916";"4";"0.0628111362457275";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"LGG";"364 x 36624";"0.984924623115578";"1";"1";"5";"0.0600088318188985";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"LUAD";"340 x 43742";"0.993589743589744";"1";"1";"1";"0.0686315655708313";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"LUAD";"339 x 43742";"1";"1";"1";"2";"0.0681481838226318";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"LUAD";"339 x 43742";"0.987096774193548";"1";"1";"3";"0.0688486814498901";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
"LUAD";"339 x 43742";"0.993548387096774";"1";"1";"4";"0.067831015586853";"clin_1__cnv_0.005__rna_1__mirna_1__mutation_1";"12345"
