"Data";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"248 x 25974";"1";"0.758064516129032";"0";"1";"0.0374433199564616";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"BLCA";"248 x 25974";"1";"0.774193548387097";"0.125";"2";"0.0300711671511332";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"BLCA";"248 x 25974";"1";"0.790322580645161";"0.235294117647059";"3";"0.0312222321828206";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"BLCA";"248 x 25974";"1";"0.790322580645161";"0.235294117647059";"4";"0.0318890690803528";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"BLCA";"248 x 25974";"1";"0.758064516129032";"0";"5";"0.0331232984860738";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"COAD";"280 x 26870";"1";"0.957142857142857";"0.952380952380952";"1";"0.0393106341362";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"COAD";"280 x 26870";"0.986301369863014";"1";"1";"2";"0.0367255012194316";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"COAD";"281 x 26870";"0.979591836734694";"0.985507246376812";"0.985074626865672";"3";"0.0381601333618164";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"COAD";"279 x 26870";"0.972602739726027";"0.971830985915493";"0.96969696969697";"4";"0.0418297489484151";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"COAD";"280 x 26870";"0.979591836734694";"1";"1";"5";"0.0366427183151245";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"ESCA";"97 x 23028";"1";"0.833333333333333";"0";"1";"0.0158781170845032";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"ESCA";"97 x 23028";"1";"0.833333333333333";"0";"2";"0.0160946687062581";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"ESCA";"96 x 23028";"1";"0.84";"0";"3";"0.0149938503901164";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"ESCA";"97 x 23028";"1";"0.833333333333333";"0";"4";"0.0190133849779765";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"ESCA";"97 x 23028";"1";"0.833333333333333";"0";"5";"0.0169115821520487";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"HNSC";"330 x 24743";"1";"0.888888888888889";"0.727272727272727";"1";"0.043197500705719";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"HNSC";"329 x 24743";"1";"0.829268292682927";"0.5";"2";"0.0437977830568949";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"HNSC";"329 x 24743";"1";"0.853658536585366";"0.625";"3";"0.0372262994448344";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"HNSC";"328 x 24743";"1";"0.843373493975904";"0.580645161290323";"4";"0.0370760679244995";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"HNSC";"328 x 24743";"1";"0.855421686746988";"0.625";"5";"0.0513527671496073";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"KIRC";"258 x 19216";"1";"0.984375";"0.976744186046512";"1";"0.0359919508298238";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"KIRC";"258 x 19216";"1";"0.96875";"0.952380952380952";"2";"0.0268521507581075";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"KIRC";"258 x 19216";"1";"0.9375";"0.9";"3";"0.0250172853469849";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"KIRC";"257 x 19216";"1";"1";"1";"4";"0.0270023147265116";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"KIRC";"257 x 19216";"1";"0.938461538461538";"0.904761904761905";"5";"0.0244174679120382";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"KIRP";"200 x 21063";"1";"0.857142857142857";"0.666666666666667";"1";"0.0232996980349223";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"KIRP";"199 x 21063";"0.986111111111111";"0.84";"0.6";"2";"0.0281865199406942";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"KIRP";"199 x 21063";"1";"0.92";"0.833333333333333";"3";"0.0234998345375061";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"KIRP";"199 x 21063";"0.993055555555556";"0.84";"0.636363636363636";"4";"0.0228660821914673";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"KIRP";"199 x 21063";"1";"0.9";"0.782608695652174";"5";"0.0236162821451823";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LIHC";"239 x 22677";"1";"0.864406779661017";"0.714285714285714";"1";"0.0275029977162679";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LIHC";"238 x 22677";"1";"0.866666666666667";"0.733333333333333";"2";"0.0318391005198161";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LIHC";"239 x 22677";"0.98780487804878";"0.830508474576271";"0.666666666666667";"3";"0.0273695349693298";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LIHC";"238 x 22677";"0.98159509202454";"0.85";"0.689655172413793";"4";"0.0284032344818115";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LIHC";"238 x 22677";"0.993865030674847";"0.75";"0.347826086956522";"5";"0.0327063322067261";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LGG";"363 x 20336";"0.96969696969697";"0.989010989010989";"0.987951807228916";"1";"0.037876300017039";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LGG";"363 x 20336";"0.984848484848485";"1";"1";"2";"0.0356247146924337";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LGG";"363 x 20336";"0.954545454545455";"0.967032967032967";"0.963855421686747";"3";"0.0362090309460958";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LGG";"363 x 20336";"1";"1";"1";"4";"0.0390107671419779";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LGG";"364 x 20336";"0.974874371859296";"0.977777777777778";"0.975609756097561";"5";"0.0363589326540629";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LUAD";"340 x 26416";"0.923076923076923";"0.976190476190476";"0.978260869565217";"1";"0.0463328997294108";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LUAD";"339 x 26416";"0.929032258064516";"0.917647058823529";"0.926315789473684";"2";"0.0401285171508789";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LUAD";"339 x 26416";"0.948387096774194";"0.988235294117647";"0.989247311827957";"3";"0.0417960484822591";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LUAD";"339 x 26416";"0.916129032258065";"0.929411764705882";"0.9375";"4";"0.0472832322120667";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LUAD";"339 x 26416";"0.92258064516129";"0.964705882352941";"0.967741935483871";"5";"0.0435142318407694";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LUSC";"293 x 26340";"1";"0.833333333333333";"0.538461538461538";"1";"0.0368762652079264";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LUSC";"292 x 26340";"1";"0.821917808219178";"0.48";"2";"0.0355416496594747";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LUSC";"293 x 26340";"1";"0.819444444444444";"0.48";"3";"0.0433971683184306";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LUSC";"291 x 26340";"1";"0.864864864864865";"0.666666666666667";"4";"0.0359752853711446";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"LUSC";"291 x 26340";"1";"0.837837837837838";"0.571428571428572";"5";"0.0388105988502502";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"PAAD";"114 x 19810";"0.954545454545455";"0.714285714285714";"0.666666666666667";"1";"0.0161276817321777";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"PAAD";"113 x 19810";"0.953846153846154";"0.896551724137931";"0.869565217391304";"2";"0.0171624024709066";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"PAAD";"114 x 19810";"0.954545454545455";"0.857142857142857";"0.833333333333333";"3";"0.0155776143074036";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"PAAD";"113 x 19810";"0.969230769230769";"0.896551724137931";"0.857142857142857";"4";"0.0146600166956584";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"PAAD";"114 x 19810";"0.954545454545455";"0.928571428571429";"0.909090909090909";"5";"0.0155105153719584";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"SARC";"148 x 19693";"0.647058823529412";"0.8";"0.810810810810811";"1";"0.0193969170252482";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"SARC";"146 x 19693";"0.686567164179104";"0.810810810810811";"0.844444444444444";"2";"0.0194303313891093";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"SARC";"146 x 19693";"0.701492537313433";"0.756756756756757";"0.8";"3";"0.0208813667297363";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"SARC";"146 x 19693";"0.701492537313433";"0.783783783783784";"0.8";"4";"0.0191468159357707";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"SARC";"146 x 19693";"0.671641791044776";"0.837837837837838";"0.842105263157895";"5";"0.0215651154518127";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"SKCM";"211 x 26782";"0.976377952755906";"0.905660377358491";"0.864864864864865";"1";"0.0286865512530009";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"SKCM";"212 x 26782";"0.9765625";"0.865384615384615";"0.8";"2";"0.029453714688619";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
"SKCM";"211 x 26782";"0.992125984251969";"0.905660377358491";"0.871794871794872";"3";"0.0287205139795939";"clin_1__cnv_0.0125__rna_0.25__mirna_1__mutation_1";"12345"
