"Data";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"248 x 69995";"0.978723404255319";"1";"1";"1";"0.0554559667905172";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 69995";"0.978723404255319";"1";"1";"2";"0.0559059500694275";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 69995";"0.978723404255319";"0.983870967741935";"0.967741935483871";"3";"0.0566901683807373";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 69995";"0.984042553191489";"0.983870967741935";"0.967741935483871";"4";"0.0541547656059265";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 69995";"0.98936170212766";"0.967741935483871";"0.9375";"5";"0.0528371532758077";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 69589";"0.979452054794521";"0.985714285714286";"0.985074626865672";"1";"0.057740585009257";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 69589";"0.986301369863014";"0.985714285714286";"0.985074626865672";"2";"0.0657962838808695";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"COAD";"281 x 69589";"0.972789115646258";"0.985507246376812";"0.985074626865672";"3";"0.0574737826983134";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"COAD";"279 x 69589";"0.979452054794521";"1";"1";"4";"0.066396697362264";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 69589";"0.986394557823129";"0.985714285714286";"0.985507246376812";"5";"0.061943248907725";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 71113";"1";"1";"1";"1";"0.0485341509183248";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 71113";"1";"1";"1";"2";"0.0442140817642212";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"ESCA";"96 x 71113";"1";"1";"1";"3";"0.044781486193339";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 71113";"1";"1";"1";"4";"0.051919953028361";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 71113";"1";"1";"1";"5";"0.0447984536488851";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"HNSC";"330 x 69195";"0.987654320987654";"1";"1";"1";"0.0680978337923686";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"HNSC";"329 x 69195";"0.991735537190083";"0.975609756097561";"0.954545454545454";"2";"0.0647955497105916";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"HNSC";"329 x 69195";"0.991769547325103";"0.98780487804878";"0.977777777777778";"3";"0.0595752000808716";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"HNSC";"328 x 69195";"0.987603305785124";"0.987951807228916";"0.977777777777778";"4";"0.0607593496640523";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"HNSC";"328 x 69195";"0.987603305785124";"1";"1";"5";"0.0686816016832987";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"KIRC";"258 x 69774";"0.994047619047619";"1";"1";"1";"0.0534545501073201";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"KIRC";"258 x 69774";"0.994047619047619";"1";"1";"2";"0.0612266818682353";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"KIRC";"258 x 69774";"0.994047619047619";"0.984375";"0.977777777777778";"3";"0.0542211333910624";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"KIRC";"257 x 69774";"0.994047619047619";"1";"1";"4";"0.053737751642863";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"KIRC";"257 x 69774";"0.994047619047619";"1";"1";"5";"0.0526036659876506";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"KIRP";"200 x 74535";"0.986111111111111";"0.979591836734694";"0.962962962962963";"1";"0.0546550671259562";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 74535";"0.979166666666667";"1";"1";"2";"0.0520529866218567";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 74535";"0.979166666666667";"1";"1";"3";"0.0576238671938578";"clin_1__cnv_1__rna_0.5__mirna_0.025__mutation_0.025";"12345"
