"Data";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"248 x 94754";"0.978723404255319";"1";"1";"1";"0.0890793323516846";"clin_1__cnv_1__rna_0.75__mirna_1__mutation_1";"12345"
"BLCA";"248 x 94754";"0.978723404255319";"1";"1";"2";"0.0724342505137126";"clin_1__cnv_1__rna_0.75__mirna_1__mutation_1";"12345"
"BLCA";"248 x 94754";"0.978723404255319";"0.983870967741935";"0.967741935483871";"3";"0.0703992168108622";"clin_1__cnv_1__rna_0.75__mirna_1__mutation_1";"12345"
"BLCA";"248 x 94754";"0.984042553191489";"0.983870967741935";"0.967741935483871";"4";"0.0688483675320943";"clin_1__cnv_1__rna_0.75__mirna_1__mutation_1";"12345"
"BLCA";"248 x 94754";"0.98936170212766";"0.967741935483871";"0.9375";"5";"0.067831019560496";"clin_1__cnv_1__rna_0.75__mirna_1__mutation_1";"12345"
"COAD";"280 x 95215";"0.979452054794521";"0.985714285714286";"0.985074626865672";"1";"0.0845764517784119";"clin_1__cnv_1__rna_0.75__mirna_1__mutation_1";"12345"
"COAD";"280 x 95215";"0.979452054794521";"0.985714285714286";"0.985074626865672";"2";"0.0804065505663554";"clin_1__cnv_1__rna_0.75__mirna_1__mutation_1";"12345"
"COAD";"281 x 95215";"0.972789115646258";"0.985507246376812";"0.985074626865672";"3";"0.0860771814982096";"clin_1__cnv_1__rna_0.75__mirna_1__mutation_1";"12345"
"COAD";"279 x 95215";"0.979452054794521";"1";"1";"4";"0.0770872155825297";"clin_1__cnv_1__rna_0.75__mirna_1__mutation_1";"12345"
"COAD";"280 x 95215";"0.986394557823129";"0.985714285714286";"0.985507246376812";"5";"0.0773876984914144";"clin_1__cnv_1__rna_0.75__mirna_1__mutation_1";"12345"
"ESCA";"97 x 93013";"1";"1";"1";"1";"0.0536047140757243";"clin_1__cnv_1__rna_0.75__mirna_1__mutation_1";"12345"
