"Data";"Block";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"clin";"248 x 4";"0.861702127659574";"0.629032258064516";"0.148148148148148";"1";"0.00498681465784709";"0.75";"12345"
"BLCA";"clin";"248 x 4";"0.808510638297872";"0.693548387096774";"0.173913043478261";"2";"0.00418630043665568";"0.75";"12345"
"BLCA";"clin";"248 x 4";"0.776595744680851";"0.725806451612903";"0";"3";"0.00348581473032633";"0.75";"12345"
"BLCA";"clin";"248 x 4";"0.813829787234043";"0.67741935483871";"0.0909090909090909";"4";"0.00355254809061686";"0.75";"12345"
"BLCA";"clin";"248 x 4";"0.845744680851064";"0.596774193548387";"0.193548387096774";"5";"0.00356921354929606";"0.75";"12345"
"BLCA";"mirna";"248 x 620";"1";"0.774193548387097";"0.125";"1";"0.00873960256576538";"0.75";"12345"
"BLCA";"mirna";"248 x 620";"1";"0.758064516129032";"0";"2";"0.00788896878560384";"0.75";"12345"
"BLCA";"mirna";"248 x 620";"0.98936170212766";"0.774193548387097";"0.125";"3";"0.018379815419515";"0.75";"12345"
"BLCA";"mirna";"248 x 620";"0.99468085106383";"0.758064516129032";"0";"4";"0.00992371638615926";"0.75";"12345"
"BLCA";"mirna";"248 x 620";"1";"0.758064516129032";"0";"5";"0.00693828264872233";"0.75";"12345"
"BLCA";"mutation";"248 x 13989";"0.909574468085106";"0.709677419354839";"0";"1";"0.0376270850499471";"0.75";"12345"
"BLCA";"mutation";"248 x 13989";"0.898936170212766";"0.725806451612903";"0.19047619047619";"2";"0.0399447679519653";"0.75";"12345"
"BLCA";"mutation";"248 x 13989";"0.914893617021277";"0.693548387096774";"0.0952380952380952";"3";"0.0387776017189026";"0.75";"12345"
"BLCA";"mutation";"248 x 13989";"0.920212765957447";"0.725806451612903";"0.260869565217391";"4";"0.0396113832791646";"0.75";"12345"
"BLCA";"mutation";"248 x 13989";"0.904255319148936";"0.758064516129032";"0.117647058823529";"5";"0.0438145001729329";"0.75";"12345"
"BLCA";"cnv";"248 x 43474";"0.978723404255319";"1";"1";"1";"0.0377104838689168";"0.75";"12345"
"BLCA";"cnv";"248 x 43474";"0.99468085106383";"0.935483870967742";"0.882352941176471";"2";"0.0421969970067342";"0.75";"12345"
"BLCA";"cnv";"248 x 43474";"0.984042553191489";"1";"1";"3";"0.0407956838607788";"0.75";"12345"
"BLCA";"cnv";"248 x 43474";"0.978723404255319";"1";"1";"4";"0.0388106465339661";"0.75";"12345"
"BLCA";"cnv";"248 x 43474";"0.984042553191489";"1";"1";"5";"0.044064732392629";"0.75";"12345"
"BLCA";"rna";"248 x 17312";"1";"0.887096774193548";"0.695652173913044";"1";"0.0290870348612467";"0.75";"12345"
"BLCA";"rna";"248 x 17312";"1";"0.903225806451613";"0.75";"2";"0.0272026975949605";"0.75";"12345"
"BLCA";"rna";"248 x 17312";"1";"0.838709677419355";"0.5";"3";"0.0295710325241089";"0.75";"12345"
"BLCA";"rna";"248 x 17312";"1";"0.903225806451613";"0.75";"4";"0.035024897257487";"0.75";"12345"
"BLCA";"rna";"248 x 17312";"1";"0.951612903225806";"0.888888888888889";"5";"0.0278364658355713";"0.75";"12345"
"COAD";"clin";"280 x 5";"0.582191780821918";"0.471428571428571";"0.430769230769231";"1";"0.00413624842961629";"0.75";"12345"
