"Data";"Block";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"clin";"248 x 4";"0.861702127659574";"0.629032258064516";"0.148148148148148";"1";"0.00303516387939453";"1";"12345"
"BLCA";"clin";"248 x 4";"0.808510638297872";"0.693548387096774";"0.173913043478261";"2";"0.00497023264567057";"1";"12345"
"BLCA";"clin";"248 x 4";"0.776595744680851";"0.725806451612903";"0";"3";"0.0029854695002238";"1";"12345"
"BLCA";"clin";"248 x 4";"0.813829787234043";"0.67741935483871";"0.0909090909090909";"4";"0.00311890045801799";"1";"12345"
"BLCA";"clin";"248 x 4";"0.845744680851064";"0.596774193548387";"0.193548387096774";"5";"0.00360258420308431";"1";"12345"
"BLCA";"mirna";"248 x 826";"1";"0.758064516129032";"0";"1";"0.00770548184712728";"1";"12345"
"BLCA";"mirna";"248 x 826";"0.99468085106383";"0.758064516129032";"0";"2";"0.00827254851659139";"1";"12345"
"BLCA";"mirna";"248 x 826";"0.99468085106383";"0.774193548387097";"0.125";"3";"0.00770546595255534";"1";"12345"
"BLCA";"mirna";"248 x 826";"0.978723404255319";"0.741935483870968";"0";"4";"0.00810576677322388";"1";"12345"
"BLCA";"mirna";"248 x 826";"1";"0.758064516129032";"0";"5";"0.00763908227284749";"1";"12345"
"BLCA";"mutation";"248 x 18651";"0.920212765957447";"0.693548387096774";"0";"1";"0.0476652344067891";"1";"12345"
"BLCA";"mutation";"248 x 18651";"0.914893617021277";"0.725806451612903";"0.260869565217391";"2";"0.0487680196762085";"1";"12345"
"BLCA";"mutation";"248 x 18651";"0.920212765957447";"0.693548387096774";"0.0952380952380952";"3";"0.0474504669507345";"1";"12345"
"BLCA";"mutation";"248 x 18651";"0.909574468085106";"0.709677419354839";"0.181818181818182";"4";"0.0470167835553487";"1";"12345"
"BLCA";"mutation";"248 x 18651";"0.920212765957447";"0.741935483870968";"0.111111111111111";"5";"0.0475838343302409";"1";"12345"
"BLCA";"cnv";"248 x 57965";"0.978723404255319";"1";"1";"1";"0.0586417198181152";"1";"12345"
"BLCA";"cnv";"248 x 57965";"0.99468085106383";"0.935483870967742";"0.882352941176471";"2";"0.0475001851717631";"1";"12345"
"BLCA";"cnv";"248 x 57965";"0.978723404255319";"1";"1";"3";"0.0493350505828857";"1";"12345"
"BLCA";"cnv";"248 x 57965";"0.978723404255319";"1";"1";"4";"0.0567070166269938";"1";"12345"
"BLCA";"cnv";"248 x 57965";"0.984042553191489";"1";"1";"5";"0.0508528312047323";"1";"12345"
"BLCA";"rna";"248 x 23082";"1";"0.903225806451613";"0.75";"1";"0.0437644640604655";"1";"12345"
"BLCA";"rna";"248 x 23082";"1";"0.854838709677419";"0.571428571428572";"2";"0.0377935528755188";"1";"12345"
"BLCA";"rna";"248 x 23082";"1";"0.838709677419355";"0.5";"3";"0.0340575297673543";"1";"12345"
"BLCA";"rna";"248 x 23082";"1";"0.887096774193548";"0.695652173913044";"4";"0.0355419317881266";"1";"12345"
"BLCA";"rna";"248 x 23082";"0.99468085106383";"0.903225806451613";"0.75";"5";"0.035508930683136";"1";"12345"
"COAD";"clin";"280 x 5";"0.582191780821918";"0.471428571428571";"0.430769230769231";"1";"0.00420296986897786";"1";"12345"
"COAD";"clin";"280 x 5";"0.582191780821918";"0.5";"0.492753623188406";"2";"0.00378603537877401";"1";"12345"
"COAD";"clin";"280 x 5";"0.605442176870748";"0.542857142857143";"0.542857142857143";"3";"0.00375264883041382";"1";"12345"
"COAD";"clin";"279 x 5";"0.513698630136986";"0.619718309859155";"0.557377049180328";"4";"0.00345249970753988";"1";"12345"
"COAD";"clin";"281 x 5";"0.578231292517007";"0.405797101449275";"0.369230769230769";"5";"0.00350250005722046";"1";"12345"
"COAD";"mirna";"280 x 803";"0.595890410958904";"0.614285714285714";"0.509090909090909";"1";"0.0104574680328369";"1";"12345"
"COAD";"mirna";"280 x 803";"0.636986301369863";"0.357142857142857";"0.285714285714286";"2";"0.00960686604181926";"1";"12345"
"COAD";"mirna";"280 x 803";"0.639455782312925";"0.542857142857143";"0.466666666666667";"3";"0.0100404659907023";"1";"12345"
"COAD";"mirna";"279 x 803";"0.60958904109589";"0.507042253521127";"0.313725490196078";"4";"0.0100237846374512";"1";"12345"
"COAD";"mirna";"281 x 803";"0.625850340136054";"0.36231884057971";"0.214285714285714";"5";"0.0103406985600789";"1";"12345"
"COAD";"mutation";"280 x 19787";"0.808219178082192";"0.528571428571429";"0.352941176470588";"1";"0.0490515828132629";"1";"12345"
"COAD";"mutation";"280 x 19787";"0.808219178082192";"0.628571428571429";"0.5";"2";"0.0518869002660116";"1";"12345"
"COAD";"mutation";"280 x 19787";"0.789115646258503";"0.557142857142857";"0.436363636363636";"3";"0.0484678506851196";"1";"12345"
"COAD";"mutation";"279 x 19787";"0.767123287671233";"0.52112676056338";"0.32";"4";"0.0526874820391337";"1";"12345"
"COAD";"mutation";"281 x 19787";"0.795918367346939";"0.608695652173913";"0.372093023255814";"5";"0.0498188177744548";"1";"12345"
"COAD";"cnv";"280 x 57965";"0.979452054794521";"1";"1";"1";"0.0564734816551209";"1";"12345"
"COAD";"cnv";"280 x 57965";"0.979452054794521";"0.942857142857143";"0.942857142857143";"2";"0.0559064308802287";"1";"12345"
"COAD";"cnv";"280 x 57965";"0.979591836734694";"1";"1";"3";"0.0515533328056335";"1";"12345"
"COAD";"cnv";"279 x 57965";"0.979452054794521";"1";"1";"4";"0.0541718324025472";"1";"12345"
"COAD";"cnv";"281 x 57965";"0.986394557823129";"0.985507246376812";"0.985074626865672";"5";"0.0531881848971049";"1";"12345"
"COAD";"rna";"280 x 22211";"0.979452054794521";"1";"1";"1";"0.0402119318644206";"1";"12345"
"COAD";"rna";"280 x 22211";"0.979452054794521";"0.957142857142857";"0.953846153846154";"2";"0.0398953676223755";"1";"12345"
"COAD";"rna";"280 x 22211";"0.993197278911565";"0.971428571428571";"0.970588235294118";"3";"0.0420129338900248";"1";"12345"
"COAD";"rna";"279 x 22211";"0.986301369863014";"1";"1";"4";"0.0393947005271912";"1";"12345"
"COAD";"rna";"281 x 22211";"0.972789115646258";"0.985507246376812";"0.984615384615385";"5";"0.0418300668398539";"1";"12345"
"ESCA";"clin";"96 x 4";"1";"0.84";"0";"1";"0.00128453572591146";"1";"12345"
"ESCA";"clin";"97 x 4";"1";"0.833333333333333";"0";"2";"0.00143435001373291";"1";"12345"
"ESCA";"clin";"97 x 4";"0.925925925925926";"0.791666666666667";"0";"3";"0.00145084857940674";"1";"12345"
"ESCA";"clin";"97 x 4";"0.987654320987654";"0.833333333333333";"0";"4";"0.00213486750920614";"1";"12345"
"ESCA";"clin";"97 x 4";"0.950617283950617";"0.75";"0.25";"5";"0.00131755272547404";"1";"12345"
"ESCA";"mirna";"96 x 764";"1";"0.84";"0";"1";"0.00338576634724935";"1";"12345"
"ESCA";"mirna";"97 x 764";"0.987654320987654";"0.833333333333333";"0";"2";"0.0045866330464681";"1";"12345"
"ESCA";"mirna";"97 x 764";"1";"0.833333333333333";"0";"3";"0.00368595123291016";"1";"12345"
"ESCA";"mirna";"97 x 764";"1";"0.833333333333333";"0";"4";"0.00338575045267741";"1";"12345"
"ESCA";"mirna";"97 x 764";"0.987654320987654";"0.833333333333333";"0";"5";"0.0035691499710083";"1";"12345"
"ESCA";"mutation";"96 x 15163";"1";"0.8";"0";"1";"0.0133928338686625";"1";"12345"
"ESCA";"mutation";"97 x 15163";"0.987654320987654";"0.833333333333333";"0";"2";"0.0150770862897237";"1";"12345"
"ESCA";"mutation";"97 x 15163";"0.987654320987654";"0.833333333333333";"0";"3";"0.0143265843391418";"1";"12345"
"ESCA";"mutation";"97 x 15163";"0.987654320987654";"0.833333333333333";"0";"4";"0.0138261834780375";"1";"12345"
"ESCA";"mutation";"97 x 15163";"0.987654320987654";"0.833333333333333";"0";"5";"0.0157276471455892";"1";"12345"
"ESCA";"cnv";"96 x 57965";"1";"1";"1";"1";"0.0391111811002096";"1";"12345"
"ESCA";"cnv";"97 x 57965";"1";"1";"1";"2";"0.0442815144856771";"1";"12345"
"ESCA";"cnv";"97 x 57965";"1";"1";"1";"3";"0.0393446485201518";"1";"12345"
"ESCA";"cnv";"97 x 57965";"1";"1";"1";"4";"0.0341243346532186";"1";"12345"
"ESCA";"cnv";"97 x 57965";"1";"1";"1";"5";"0.0386608680089315";"1";"12345"
"ESCA";"rna";"96 x 25495";"1";"0.84";"0";"1";"0.0204312364260356";"1";"12345"
"ESCA";"rna";"97 x 25495";"1";"0.833333333333333";"0";"2";"0.0184130986531576";"1";"12345"
"ESCA";"rna";"97 x 25495";"1";"0.833333333333333";"0";"3";"0.020247749487559";"1";"12345"
"ESCA";"rna";"97 x 25495";"1";"0.833333333333333";"0";"4";"0.0195305983225505";"1";"12345"
"ESCA";"rna";"97 x 25495";"1";"0.833333333333333";"0";"5";"0.0200976848602295";"1";"12345"
"HNSC";"clin";"330 x 5";"0.851851851851852";"0.728395061728395";"0.388888888888889";"1";"0.00421961545944214";"1";"12345"
"HNSC";"clin";"328 x 5";"0.855371900826446";"0.686746987951807";"0.133333333333333";"2";"0.00423634847005208";"1";"12345"
"HNSC";"clin";"328 x 5";"0.855371900826446";"0.626506024096386";"0.27906976744186";"3";"0.00393611590067546";"1";"12345"
"HNSC";"clin";"328 x 5";"0.851239669421488";"0.686746987951807";"0.315789473684211";"4";"0.00383605162302653";"1";"12345"
"HNSC";"clin";"330 x 5";"0.847736625514403";"0.691358024691358";"0.324324324324324";"5";"0.00391945044199626";"1";"12345"
"HNSC";"mirna";"330 x 794";"1";"0.740740740740741";"0";"1";"0.0110579013824463";"1";"12345"
"HNSC";"mirna";"328 x 794";"0.995867768595041";"0.734939759036145";"0";"2";"0.00987366437911987";"1";"12345"
"HNSC";"mirna";"328 x 794";"1";"0.734939759036145";"0";"3";"0.00930659770965576";"1";"12345"
