"Data";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"248 x 6551";"1";"0.758064516129032";"0";"1";"0.0195137182871501";"clin_1__cnv_0.005__rna_0.25__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 6551";"1";"0.806451612903226";"0.333333333333333";"2";"0.018729833761851";"clin_1__cnv_0.005__rna_0.25__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 6551";"1";"0.774193548387097";"0.125";"3";"0.0168618321418762";"clin_1__cnv_0.005__rna_0.25__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 6551";"1";"0.790322580645161";"0.235294117647059";"4";"0.0174622694651286";"clin_1__cnv_0.005__rna_0.25__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 6551";"1";"0.758064516129032";"0";"5";"0.0170953671137492";"clin_1__cnv_0.005__rna_0.25__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 6362";"0.986301369863014";"0.957142857142857";"0.953846153846154";"1";"0.0189966837565104";"clin_1__cnv_0.005__rna_0.25__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 6362";"0.986301369863014";"1";"1";"2";"0.0175456682840983";"clin_1__cnv_0.005__rna_0.25__mirna_0.025__mutation_0.025";"12345"
"COAD";"281 x 6362";"0.986394557823129";"0.985507246376812";"0.984615384615385";"3";"0.0176457325617472";"clin_1__cnv_0.005__rna_0.25__mirna_0.025__mutation_0.025";"12345"
"COAD";"279 x 6362";"0.993150684931507";"0.985915492957746";"0.985074626865672";"4";"0.0177457968393962";"clin_1__cnv_0.005__rna_0.25__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 6362";"0.986394557823129";"1";"1";"5";"0.0178789337476095";"clin_1__cnv_0.005__rna_0.25__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 7066";"1";"0.833333333333333";"0";"1";"0.0079556147257487";"clin_1__cnv_0.005__rna_0.25__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 7066";"1";"0.875";"0.4";"2";"0.00738853216171265";"clin_1__cnv_0.005__rna_0.25__mirna_0.025__mutation_0.025";"12345"
"ESCA";"96 x 7066";"1";"0.84";"0";"3";"0.00945665041605631";"clin_1__cnv_0.005__rna_0.25__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 7066";"1";"0.833333333333333";"0";"4";"0.00808901786804199";"clin_1__cnv_0.005__rna_0.25__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 7066";"1";"0.875";"0.4";"5";"0.0104573329289754";"clin_1__cnv_0.005__rna_0.25__mirna_0.025__mutation_0.025";"12345"
"HNSC";"330 x 6141";"1";"0.888888888888889";"0.727272727272727";"1";"0.0243671337763468";"clin_1__cnv_0.005__rna_0.25__mirna_0.025__mutation_0.025";"12345"
"HNSC";"329 x 6141";"1";"0.914634146341463";"0.8";"2";"0.0203142325083415";"clin_1__cnv_0.005__rna_0.25__mirna_0.025__mutation_0.025";"12345"
