"Data";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"248 x 31744";"1";"0.790322580645161";"0.235294117647059";"1";"0.0367091298103333";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
"BLCA";"248 x 31744";"1";"0.854838709677419";"0.571428571428572";"2";"0.0390274365743001";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
"BLCA";"248 x 31744";"1";"0.790322580645161";"0.235294117647059";"3";"0.0363425493240356";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
"BLCA";"248 x 31744";"1";"0.838709677419355";"0.5";"4";"0.0448148369789124";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
"BLCA";"248 x 31744";"1";"0.806451612903226";"0.333333333333333";"5";"0.0425802667935689";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
"COAD";"280 x 32423";"0.993150684931507";"0.957142857142857";"0.955223880597015";"1";"0.0437804977099101";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
"COAD";"280 x 32423";"0.972602739726027";"1";"1";"2";"0.0484507163365682";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
"COAD";"281 x 32423";"1";"1";"1";"3";"0.0427470525105794";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
"COAD";"279 x 32423";"0.972602739726027";"1";"1";"4";"0.0435139020284017";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
"COAD";"280 x 32423";"0.986394557823129";"1";"1";"5";"0.0417626818021139";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
"ESCA";"97 x 29401";"1";"0.833333333333333";"0";"1";"0.0195470809936523";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
"ESCA";"97 x 29401";"1";"0.833333333333333";"0";"2";"0.0197639147440592";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
"ESCA";"96 x 29401";"1";"0.84";"0";"3";"0.0213483532269796";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
"ESCA";"97 x 29401";"1";"0.833333333333333";"0";"4";"0.0206645329793294";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
"ESCA";"97 x 29401";"1";"0.833333333333333";"0";"5";"0.0197639028231303";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
"HNSC";"330 x 30123";"1";"0.876543209876543";"0.6875";"1";"0.0461157480875651";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
"HNSC";"329 x 30123";"1";"0.902439024390244";"0.764705882352941";"2";"0.0495681643486023";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
"HNSC";"329 x 30123";"1";"0.853658536585366";"0.625";"3";"0.0486675500869751";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
"HNSC";"328 x 30123";"1";"0.843373493975904";"0.580645161290323";"4";"0.0440978328386943";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
"HNSC";"328 x 30123";"1";"0.867469879518072";"0.666666666666667";"5";"0.0432470679283142";"clin_1__cnv_0.0125__rna_0.5__mirna_1__mutation_1";"12345"
