"Data";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"248 x 43285";"1";"0.870967741935484";"0.636363636363636";"1";"0.0463158845901489";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"BLCA";"248 x 43285";"1";"0.983870967741935";"0.96551724137931";"2";"0.0524365305900574";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"BLCA";"248 x 43285";"1";"0.854838709677419";"0.571428571428572";"3";"0.0520869493484497";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"BLCA";"248 x 43285";"1";"0.983870967741935";"0.96551724137931";"4";"0.0535209854443868";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"BLCA";"248 x 43285";"1";"0.983870967741935";"0.96551724137931";"5";"0.0475000659624736";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"COAD";"280 x 43528";"0.993150684931507";"0.957142857142857";"0.953846153846154";"1";"0.0542547821998596";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"COAD";"280 x 43528";"1";"1";"1";"2";"0.0561731656392415";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"COAD";"281 x 43528";"0.993197278911565";"1";"1";"3";"0.0568233013153076";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"COAD";"279 x 43528";"0.993150684931507";"0.985915492957746";"0.985074626865672";"4";"0.0600758671760559";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"COAD";"280 x 43528";"0.993197278911565";"1";"1";"5";"0.0591082334518433";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"ESCA";"97 x 42148";"1";"0.833333333333333";"0";"1";"0.0276194334030151";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"ESCA";"97 x 42148";"1";"0.875";"0.4";"2";"0.0298209667205811";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"ESCA";"96 x 42148";"1";"0.84";"0";"3";"0.0288539171218872";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"ESCA";"97 x 42148";"1";"0.833333333333333";"0";"4";"0.0281364639600118";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"ESCA";"97 x 42148";"1";"0.833333333333333";"0";"5";"0.0286701838175456";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"HNSC";"330 x 40883";"1";"0.938271604938272";"0.864864864864865";"1";"0.0557725509007772";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"HNSC";"329 x 40883";"1";"0.939024390243902";"0.864864864864865";"2";"0.0547551830609639";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"HNSC";"329 x 40883";"1";"0.914634146341463";"0.810810810810811";"3";"0.0538878520329793";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"HNSC";"328 x 40883";"1";"0.903614457831325";"0.777777777777778";"4";"0.0558558821678162";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"HNSC";"328 x 40883";"1";"0.903614457831325";"0.777777777777778";"5";"0.0584243814150492";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"KIRC";"258 x 36445";"0.994047619047619";"0.984375";"0.976744186046512";"1";"0.0483339667320251";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"KIRC";"258 x 36445";"1";"0.96875";"0.954545454545455";"2";"0.0437977830568949";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"KIRC";"258 x 36445";"0.994047619047619";"0.984375";"0.976744186046512";"3";"0.0424628814061483";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"KIRC";"257 x 36445";"1";"0.984615384615385";"0.977777777777778";"4";"0.0428801854451497";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"KIRC";"257 x 36445";"0.994047619047619";"0.984615384615385";"0.977777777777778";"5";"0.0480334639549255";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"KIRP";"200 x 45457";"1";"0.897959183673469";"0.782608695652174";"1";"0.0449652671813965";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"KIRP";"199 x 45457";"0.993055555555556";"0.9";"0.782608695652174";"2";"0.0475000659624736";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"KIRP";"199 x 45457";"1";"0.92";"0.833333333333333";"3";"0.0499517838160197";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"KIRP";"199 x 45457";"0.993055555555556";"0.86";"0.666666666666667";"4";"0.0447648167610168";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"KIRP";"199 x 45457";"0.993055555555556";"0.98";"0.962962962962963";"5";"0.0446313182512919";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LIHC";"239 x 38423";"1";"0.983050847457627";"0.971428571428571";"1";"0.0447311321894328";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LIHC";"238 x 38423";"1";"0.966666666666667";"0.944444444444444";"2";"0.0426966349283854";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LIHC";"239 x 38423";"0.99390243902439";"0.932203389830508";"0.882352941176471";"3";"0.0447644829750061";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LIHC";"238 x 38423";"1";"0.95";"0.914285714285714";"4";"0.0437804698944092";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LIHC";"238 x 38423";"1";"0.816666666666667";"0.592592592592593";"5";"0.0412956674893697";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LGG";"363 x 37059";"1";"1";"1";"1";"0.0571568489074707";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LGG";"363 x 37059";"1";"1";"1";"2";"0.0626773993174235";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LGG";"363 x 37059";"1";"0.989010989010989";"0.987654320987654";"3";"0.0571405172348022";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LGG";"363 x 37059";"1";"1";"1";"4";"0.0629773298899333";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LGG";"364 x 37059";"0.989949748743719";"1";"1";"5";"0.0573405861854553";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LUAD";"340 x 44177";"0.987179487179487";"1";"1";"1";"0.0689154346783956";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LUAD";"339 x 44177";"1";"0.988235294117647";"0.989010989010989";"2";"0.0662635485331217";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LUAD";"339 x 44177";"0.993548387096774";"1";"1";"3";"0.0605262001355489";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LUAD";"339 x 44177";"1";"1";"1";"4";"0.0603593985239665";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LUAD";"339 x 44177";"1";"1";"1";"5";"0.0604925513267517";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LUSC";"293 x 43983";"1";"0.972222222222222";"0.944444444444444";"1";"0.0605592489242554";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LUSC";"292 x 43983";"1";"0.904109589041096";"0.774193548387097";"2";"0.0543382167816162";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LUSC";"293 x 43983";"1";"0.986111111111111";"0.972972972972973";"3";"0.056640100479126";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LUSC";"291 x 43983";"1";"0.864864864864865";"0.666666666666667";"4";"0.0534379005432129";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"LUSC";"291 x 43983";"1";"0.959459459459459";"0.918918918918919";"5";"0.0614935318628947";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"PAAD";"114 x 36571";"1";"0.928571428571429";"0.909090909090909";"1";"0.0296044826507568";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"PAAD";"113 x 36571";"0.984615384615385";"0.96551724137931";"0.956521739130435";"2";"0.0345072865486145";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"PAAD";"114 x 36571";"0.984848484848485";"1";"1";"3";"0.0276364326477051";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"PAAD";"113 x 36571";"1";"1";"1";"4";"0.0268855651219686";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"PAAD";"114 x 36571";"1";"0.928571428571429";"0.909090909090909";"5";"0.0282698671023051";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"SARC";"148 x 36825";"0.955882352941177";"0.942857142857143";"0.947368421052632";"1";"0.034557302792867";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"SARC";"146 x 36825";"0.835820895522388";"0.972972972972973";"0.975609756097561";"2";"0.0327230135599772";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
"SARC";"146 x 36825";"0.895522388059702";"0.972972972972973";"0.975609756097561";"3";"0.0350076158841451";"clin_1__cnv_0.0125__rna_1__mirna_1__mutation_1";"12345"
