"Data";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"248 x 80905";"0.978723404255319";"1";"1";"1";"0.0760034521420797";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"BLCA";"248 x 80905";"0.978723404255319";"1";"1";"2";"0.0580908338228861";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"BLCA";"248 x 80905";"0.978723404255319";"0.983870967741935";"0.967741935483871";"3";"0.0584581017494202";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"BLCA";"248 x 80905";"0.984042553191489";"0.983870967741935";"0.967741935483871";"4";"0.0574737350145976";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"BLCA";"248 x 80905";"0.98936170212766";"0.967741935483871";"0.9375";"5";"0.0573239326477051";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"COAD";"280 x 81889";"0.979452054794521";"1";"1";"1";"0.0731683810551961";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"COAD";"280 x 81889";"0.986301369863014";"0.985714285714286";"0.985074626865672";"2";"0.0627771337827047";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"COAD";"281 x 81889";"0.972789115646258";"0.985507246376812";"0.985074626865672";"3";"0.0683313647905986";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"COAD";"279 x 81889";"0.979452054794521";"1";"1";"4";"0.0669303695360819";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"COAD";"280 x 81889";"0.986394557823129";"0.985714285714286";"0.985507246376812";"5";"0.068614916006724";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"ESCA";"97 x 77717";"1";"1";"1";"1";"0.0497183005015055";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"ESCA";"97 x 77717";"1";"1";"1";"2";"0.0452821691830953";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"ESCA";"96 x 77717";"1";"1";"1";"3";"0.0568900346755981";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"ESCA";"97 x 77717";"1";"1";"1";"4";"0.043897553284963";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"ESCA";"97 x 77717";"1";"1";"1";"5";"0.0473332802454631";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"HNSC";"330 x 79830";"0.987654320987654";"1";"1";"1";"0.0744523366292318";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"HNSC";"329 x 79830";"0.991735537190083";"0.975609756097561";"0.954545454545454";"2";"0.0671975493431091";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"HNSC";"329 x 79830";"0.987654320987654";"0.98780487804878";"0.977777777777778";"3";"0.0704492330551147";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"HNSC";"328 x 79830";"0.987603305785124";"0.987951807228916";"0.977777777777778";"4";"0.066613499323527";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"HNSC";"328 x 79830";"0.987603305785124";"1";"1";"5";"0.068064534664154";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"KIRC";"258 x 74158";"0.994047619047619";"1";"1";"1";"0.0562061826388041";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
"KIRC";"258 x 74158";"0.994047619047619";"1";"1";"2";"0.0559062997500102";"clin_1__cnv_1__rna_0.15__mirna_1__mutation_1";"12345"
