"Data";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"248 x 81536";"0.978723404255319";"1";"1";"1";"0.0615098675092061";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 81536";"0.978723404255319";"1";"1";"2";"0.0688317020734151";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 81536";"0.978723404255319";"0.983870967741935";"0.967741935483871";"3";"0.062744414806366";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 81536";"0.984042553191489";"0.983870967741935";"0.967741935483871";"4";"0.0689314643541972";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"BLCA";"248 x 81536";"0.98936170212766";"0.967741935483871";"0.9375";"5";"0.0602256854375203";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 80694";"0.979452054794521";"0.985714285714286";"0.985074626865672";"1";"0.0754200339317322";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 80694";"0.986301369863014";"0.985714285714286";"0.985074626865672";"2";"0.0711830655733744";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"COAD";"281 x 80694";"0.979591836734694";"0.985507246376812";"0.985074626865672";"3";"0.0734183033307393";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"COAD";"279 x 80694";"0.979452054794521";"1";"1";"4";"0.0664470156033834";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"COAD";"280 x 80694";"0.986394557823129";"0.985714285714286";"0.985507246376812";"5";"0.0685985485712687";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 83860";"1";"1";"1";"1";"0.0541377663612366";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 83860";"1";"1";"1";"2";"0.054105015595754";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"ESCA";"96 x 83860";"1";"1";"1";"3";"0.0538542151451111";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 83860";"1";"1";"1";"4";"0.0517033179601033";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"ESCA";"97 x 83860";"1";"1";"1";"5";"0.0548718810081482";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"HNSC";"330 x 79955";"0.987654320987654";"1";"1";"1";"0.0773043314615885";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"HNSC";"329 x 79955";"0.991735537190083";"0.975609756097561";"0.954545454545454";"2";"0.0675978144009908";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"HNSC";"329 x 79955";"0.991769547325103";"0.98780487804878";"0.977777777777778";"3";"0.0761872172355652";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"HNSC";"328 x 79955";"0.987603305785124";"0.987951807228916";"0.977777777777778";"4";"0.065612800916036";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"HNSC";"328 x 79955";"0.987603305785124";"1";"1";"5";"0.0701993505160014";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRC";"258 x 81260";"0.994047619047619";"1";"1";"1";"0.0669140338897705";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRC";"258 x 81260";"0.994047619047619";"1";"1";"2";"0.061093266805013";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRC";"258 x 81260";"1";"0.984375";"0.977777777777778";"3";"0.0609930356343587";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRC";"257 x 81260";"0.994047619047619";"1";"1";"4";"0.0628938992818197";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRC";"257 x 81260";"0.994047619047619";"1";"1";"5";"0.0701659997304281";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRP";"200 x 90798";"0.986111111111111";"0.979591836734694";"0.962962962962963";"1";"0.0725343346595764";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 90798";"0.979166666666667";"1";"1";"2";"0.0660464525222778";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 90798";"0.979166666666667";"1";"1";"3";"0.0640783667564392";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 90798";"0.986111111111111";"0.94";"0.903225806451613";"4";"0.0684314012527466";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"KIRP";"199 x 90798";"0.979166666666667";"1";"1";"5";"0.0673973838488261";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LIHC";"239 x 79379";"0.987730061349693";"1";"1";"1";"0.0618934988975525";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LIHC";"238 x 79379";"0.993865030674847";"1";"1";"2";"0.0634279171625773";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LIHC";"239 x 79379";"0.99390243902439";"1";"1";"3";"0.0612433513005575";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LIHC";"238 x 79379";"0.993865030674847";"1";"1";"4";"0.0612263997395833";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LIHC";"238 x 79379";"0.993865030674847";"0.966666666666667";"0.95";"5";"0.0632777849833171";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LGG";"363 x 80615";"0.98989898989899";"0.989010989010989";"0.987951807228916";"1";"0.0820910493532817";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LGG";"363 x 80615";"0.994949494949495";"0.989010989010989";"0.987951807228916";"2";"0.0770041147867839";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LGG";"363 x 80615";"0.98989898989899";"1";"1";"3";"0.0719338973363241";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LGG";"363 x 80615";"0.989949748743719";"1";"1";"4";"0.0731517513593038";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LGG";"364 x 80615";"0.989949748743719";"1";"1";"5";"0.076803986231486";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LUAD";"340 x 82145";"0.993589743589744";"1";"1";"1";"0.0780548652013143";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LUAD";"339 x 82145";"0.987096774193548";"1";"1";"2";"0.0732848683993022";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LUAD";"339 x 82145";"0.987096774193548";"1";"1";"3";"0.0774544676144918";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LUAD";"339 x 82145";"0.993548387096774";"0.988235294117647";"0.989247311827957";"4";"0.0780882477760315";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LUAD";"339 x 82145";"0.993548387096774";"1";"1";"5";"0.0745526353518168";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LUSC";"293 x 81988";"0.990697674418605";"0.986111111111111";"0.974358974358974";"1";"0.0674971024195353";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LUSC";"292 x 81988";"0.985981308411215";"1";"1";"2";"0.0669804175694784";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LUSC";"293 x 81988";"0.986046511627907";"1";"1";"3";"0.0682146350542704";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LUSC";"291 x 81988";"0.990654205607477";"0.986486486486487";"0.975609756097561";"4";"0.0762202501296997";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"LUSC";"291 x 81988";"0.985981308411215";"0.986486486486487";"0.975609756097561";"5";"0.0672305822372437";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"PAAD";"114 x 80653";"0.939393939393939";"0.964285714285714";"0.96";"1";"0.0507857322692871";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"PAAD";"113 x 80653";"0.953846153846154";"0.96551724137931";"0.96";"2";"0.0540049831072489";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"PAAD";"114 x 80653";"0.954545454545455";"1";"1";"3";"0.0525705655415853";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"PAAD";"113 x 80653";"0.953846153846154";"1";"1";"4";"0.0497516671816508";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"PAAD";"114 x 80653";"0.96969696969697";"0.964285714285714";"0.96";"5";"0.053654400507609";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"SARC";"148 x 81139";"1";"1";"1";"1";"0.0586909850438436";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"SARC";"146 x 81139";"1";"1";"1";"2";"0.055305552482605";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"SARC";"146 x 81139";"1";"1";"1";"3";"0.0573669830958049";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"SARC";"146 x 81139";"1";"1";"1";"4";"0.0634109497070312";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"SARC";"146 x 81139";"1";"1";"1";"5";"0.0550053159395854";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"SKCM";"211 x 80729";"1";"1";"1";"1";"0.0587246537208557";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"SKCM";"212 x 80729";"0.9921875";"1";"1";"2";"0.0603757500648499";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"SKCM";"211 x 80729";"1";"1";"1";"3";"0.0615932663281759";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"SKCM";"211 x 80729";"1";"1";"1";"4";"0.0629275480906169";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"SKCM";"211 x 80729";"1";"1";"1";"5";"0.0612764159838359";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"STAD";"227 x 84499";"0.992805755395683";"1";"1";"1";"0.0758202830950419";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"STAD";"227 x 84499";"0.992805755395683";"1";"1";"2";"0.0653963128725688";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
"STAD";"227 x 84499";"1";"0.982456140350877";"0.977777777777778";"3";"0.0736350854237874";"clin_1__cnv_1__rna_1__mirna_0.025__mutation_0.025";"12345"
