"Data";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"248 x 100524";"0.984042553191489";"1";"1";"1";"0.084993048508962";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"BLCA";"248 x 100524";"0.978723404255319";"1";"1";"2";"0.0801399985949198";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"BLCA";"248 x 100524";"0.978723404255319";"0.983870967741935";"0.967741935483871";"3";"0.0783384203910828";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"BLCA";"248 x 100524";"0.984042553191489";"0.983870967741935";"0.967741935483871";"4";"0.07358504931132";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"BLCA";"248 x 100524";"0.98936170212766";"0.967741935483871";"0.9375";"5";"0.0837922175725301";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"COAD";"280 x 100767";"0.979452054794521";"0.985714285714286";"0.985074626865672";"1";"0.0819239338239034";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"COAD";"280 x 100767";"0.986301369863014";"0.985714285714286";"0.985074626865672";"2";"0.0916978160540263";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"COAD";"281 x 100767";"0.972789115646258";"0.985507246376812";"0.985074626865672";"3";"0.0801066160202026";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"COAD";"279 x 100767";"0.979452054794521";"1";"1";"4";"0.0911807974179586";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"COAD";"280 x 100767";"0.986394557823129";"0.985714285714286";"0.985507246376812";"5";"0.078905463218689";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"ESCA";"97 x 99387";"1";"1";"1";"1";"0.0653959671656291";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"ESCA";"97 x 99387";"1";"1";"1";"2";"0.0617601831754049";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"ESCA";"96 x 99387";"1";"1";"1";"3";"0.0576575676600138";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"ESCA";"97 x 99387";"1";"1";"1";"4";"0.0628442168235779";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"ESCA";"97 x 99387";"1";"1";"1";"5";"0.0608261148134867";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"HNSC";"330 x 98122";"0.987654320987654";"1";"1";"1";"0.101388251781464";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"HNSC";"329 x 98122";"0.991735537190083";"0.975609756097561";"0.954545454545454";"2";"0.0885786652565002";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"HNSC";"329 x 98122";"0.987654320987654";"0.98780487804878";"0.977777777777778";"3";"0.0904133160909017";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"HNSC";"328 x 98122";"0.987603305785124";"0.987951807228916";"0.977777777777778";"4";"0.0830586989720662";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"HNSC";"328 x 98122";"0.987603305785124";"1";"1";"5";"0.088562266031901";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"KIRC";"258 x 93684";"0.994047619047619";"1";"1";"1";"0.0684313972791036";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"KIRC";"258 x 93684";"0.994047619047619";"1";"1";"2";"0.0689151326815287";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
"KIRC";"258 x 93684";"1";"0.984375";"0.977777777777778";"3";"0.0665134191513062";"clin_1__cnv_1__rna_1__mirna_1__mutation_1";"12345"
