"Data";"Block";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"clin";"248 x 4";"0.824468085106383";"0.709677419354839";"0.25";"1";"0.00300209919611613";"0.75";"123456"
"BLCA";"clin";"248 x 4";"0.792553191489362";"0.67741935483871";"0.166666666666667";"2";"0.00320223569869995";"0.75";"123456"
"BLCA";"clin";"248 x 4";"0.803191489361702";"0.596774193548387";"0.0740740740740741";"3";"0.00296873251597087";"0.75";"123456"
"BLCA";"clin";"248 x 4";"0.840425531914894";"0.693548387096774";"0.344827586206897";"4";"0.00303544998168945";"0.75";"123456"
"BLCA";"clin";"248 x 4";"0.771276595744681";"0.725806451612903";"0.19047619047619";"5";"0.00305211544036865";"0.75";"123456"
"BLCA";"mirna";"248 x 620";"0.99468085106383";"0.758064516129032";"0";"1";"0.00675473213195801";"0.75";"123456"
"BLCA";"mirna";"248 x 620";"0.99468085106383";"0.758064516129032";"0";"2";"0.00665466785430908";"0.75";"123456"
"BLCA";"mirna";"248 x 620";"0.99468085106383";"0.758064516129032";"0";"3";"0.00645453532536825";"0.75";"123456"
"BLCA";"mirna";"248 x 620";"1";"0.758064516129032";"0";"4";"0.00663801431655884";"0.75";"123456"
"BLCA";"mirna";"248 x 620";"1";"0.758064516129032";"0";"5";"0.00700488487879435";"0.75";"123456"
"BLCA";"mutation";"248 x 13989";"0.898936170212766";"0.725806451612903";"0.105263157894737";"1";"0.0371761480967204";"0.75";"123456"
"BLCA";"mutation";"248 x 13989";"0.904255319148936";"0.774193548387097";"0.3";"2";"0.0339408318201701";"0.75";"123456"
"BLCA";"mutation";"248 x 13989";"0.920212765957447";"0.725806451612903";"0.105263157894737";"3";"0.037993069489797";"0.75";"123456"
"BLCA";"mutation";"248 x 13989";"0.914893617021277";"0.758064516129032";"0.210526315789474";"4";"0.0367922186851501";"0.75";"123456"
"BLCA";"mutation";"248 x 13989";"0.909574468085106";"0.67741935483871";"0.166666666666667";"5";"0.0385103821754456";"0.75";"123456"
"BLCA";"cnv";"248 x 43474";"0.978723404255319";"1";"1";"1";"0.0334565798441569";"0.75";"123456"
"BLCA";"cnv";"248 x 43474";"0.978723404255319";"1";"1";"2";"0.0352581183115641";"0.75";"123456"
"BLCA";"cnv";"248 x 43474";"0.984042553191489";"0.983870967741935";"0.967741935483871";"3";"0.0365760525067647";"0.75";"123456"
"BLCA";"cnv";"248 x 43474";"0.984042553191489";"0.983870967741935";"0.967741935483871";"4";"0.0337070345878601";"0.75";"123456"
"BLCA";"cnv";"248 x 43474";"0.98936170212766";"0.967741935483871";"0.9375";"5";"0.0394277175267537";"0.75";"123456"
"BLCA";"rna";"248 x 17312";"1";"0.854838709677419";"0.571428571428572";"1";"0.025818133354187";"0.75";"123456"
"BLCA";"rna";"248 x 17312";"1";"0.887096774193548";"0.695652173913044";"2";"0.0257848183314006";"0.75";"123456"
"BLCA";"rna";"248 x 17312";"1";"0.870967741935484";"0.636363636363636";"3";"0.0262020667394002";"0.75";"123456"
"BLCA";"rna";"248 x 17312";"1";"0.951612903225806";"0.888888888888889";"4";"0.0252013524373372";"0.75";"123456"
"BLCA";"rna";"248 x 17312";"1";"0.935483870967742";"0.846153846153846";"5";"0.0263849020004272";"0.75";"123456"
"COAD";"clin";"280 x 5";"0.568493150684932";"0.642857142857143";"0.59016393442623";"1";"0.00366920232772827";"0.75";"123456"
"COAD";"clin";"280 x 5";"0.527397260273973";"0.514285714285714";"0.5";"2";"0.00358583529790243";"0.75";"123456"
"COAD";"clin";"281 x 5";"0.598639455782313";"0.463768115942029";"0.327272727272727";"3";"0.00378603140513102";"0.75";"123456"
"COAD";"clin";"279 x 5";"0.561643835616438";"0.535211267605634";"0.492307692307692";"4";"0.00336901744206746";"0.75";"123456"
"COAD";"clin";"280 x 5";"0.54421768707483";"0.542857142857143";"0.529411764705882";"5";"0.00350246826807658";"0.75";"123456"
"COAD";"mirna";"280 x 603";"0.678082191780822";"0.471428571428571";"0.350877192982456";"1";"0.00880620082219442";"0.75";"123456"
"COAD";"mirna";"280 x 603";"0.595890410958904";"0.542857142857143";"0.407407407407407";"2";"0.00788888533910116";"0.75";"123456"
"COAD";"mirna";"281 x 603";"0.63265306122449";"0.434782608695652";"0.264150943396226";"3";"0.00805565118789673";"0.75";"123456"
"COAD";"mirna";"279 x 603";"0.568493150684932";"0.422535211267606";"0.254545454545455";"4";"0.0080389658610026";"0.75";"123456"
"COAD";"mirna";"280 x 603";"0.571428571428571";"0.628571428571429";"0.566666666666667";"5";"0.00827279885609945";"0.75";"123456"
"COAD";"mutation";"280 x 14841";"0.808219178082192";"0.6";"0.5";"1";"0.0384770671526591";"0.75";"123456"
"COAD";"mutation";"280 x 14841";"0.76027397260274";"0.6";"0.461538461538462";"2";"0.0431469639142354";"0.75";"123456"
