"Data";"Block";"train_dim";"OOB_Acc";"Test_Acc";"Test_F1";"Fold";"Time";"Fraction";"subset_seed"
"BLCA";"clin";"248 x 4";"0.824468085106383";"0.709677419354839";"0.25";"1";"0.00301876465479533";"1";"123456"
"BLCA";"clin";"248 x 4";"0.792553191489362";"0.67741935483871";"0.166666666666667";"2";"0.00333568255106608";"1";"123456"
"BLCA";"clin";"248 x 4";"0.803191489361702";"0.596774193548387";"0.0740740740740741";"3";"0.00290205081303914";"1";"123456"
"BLCA";"clin";"248 x 4";"0.840425531914894";"0.693548387096774";"0.344827586206897";"4";"0.00291871627171834";"1";"123456"
"BLCA";"clin";"248 x 4";"0.771276595744681";"0.725806451612903";"0.19047619047619";"5";"0.00318556626637777";"1";"123456"
"BLCA";"mirna";"248 x 826";"0.99468085106383";"0.741935483870968";"0";"1";"0.00755531787872314";"1";"123456"
"BLCA";"mirna";"248 x 826";"1";"0.758064516129032";"0";"2";"0.00730513334274292";"1";"123456"
"BLCA";"mirna";"248 x 826";"0.984042553191489";"0.758064516129032";"0";"3";"0.00697156588236491";"1";"123456"
"BLCA";"mirna";"248 x 826";"1";"0.758064516129032";"0";"4";"0.00730511347452799";"1";"123456"
"BLCA";"mirna";"248 x 826";"1";"0.758064516129032";"0";"5";"0.00760533412297567";"1";"123456"
"BLCA";"mutation";"248 x 18651";"0.920212765957447";"0.693548387096774";"0";"1";"0.047567081451416";"1";"123456"
"BLCA";"mutation";"248 x 18651";"0.909574468085106";"0.758064516129032";"0.210526315789474";"2";"0.0441480159759522";"1";"123456"
"BLCA";"mutation";"248 x 18651";"0.914893617021277";"0.725806451612903";"0.105263157894737";"3";"0.0472831010818481";"1";"123456"
"BLCA";"mutation";"248 x 18651";"0.909574468085106";"0.725806451612903";"0.19047619047619";"4";"0.0431971828142802";"1";"123456"
"BLCA";"mutation";"248 x 18651";"0.925531914893617";"0.661290322580645";"0.16";"5";"0.0434805671374003";"1";"123456"
"BLCA";"cnv";"248 x 57965";"0.978723404255319";"1";"1";"1";"0.0492349664370219";"1";"123456"
"BLCA";"cnv";"248 x 57965";"0.978723404255319";"1";"1";"2";"0.0435973167419434";"1";"123456"
"BLCA";"cnv";"248 x 57965";"0.978723404255319";"0.983870967741935";"0.967741935483871";"3";"0.0514027992884318";"1";"123456"
"BLCA";"cnv";"248 x 57965";"0.98936170212766";"0.983870967741935";"0.967741935483871";"4";"0.0418294310569763";"1";"123456"
"BLCA";"cnv";"248 x 57965";"0.98936170212766";"0.967741935483871";"0.9375";"5";"0.0433638135592143";"1";"123456"
"BLCA";"rna";"248 x 23082";"1";"0.806451612903226";"0.333333333333333";"1";"0.0341739972432454";"1";"123456"
"BLCA";"rna";"248 x 23082";"1";"0.854838709677419";"0.571428571428572";"2";"0.032906432946523";"1";"123456"
"BLCA";"rna";"248 x 23082";"1";"0.806451612903226";"0.333333333333333";"3";"0.0321726361910502";"1";"123456"
"BLCA";"rna";"248 x 23082";"1";"0.887096774193548";"0.695652173913044";"4";"0.0319227496782939";"1";"123456"
"BLCA";"rna";"248 x 23082";"0.99468085106383";"0.870967741935484";"0.636363636363636";"5";"0.0320725639661153";"1";"123456"
"COAD";"clin";"280 x 5";"0.568493150684932";"0.642857142857143";"0.59016393442623";"1";"0.00371928215026855";"1";"123456"
"COAD";"clin";"280 x 5";"0.527397260273973";"0.514285714285714";"0.5";"2";"0.00346911748250326";"1";"123456"
"COAD";"clin";"281 x 5";"0.598639455782313";"0.463768115942029";"0.327272727272727";"3";"0.00355248053868612";"1";"123456"
"COAD";"clin";"279 x 5";"0.561643835616438";"0.535211267605634";"0.492307692307692";"4";"0.0033023198445638";"1";"123456"
"COAD";"clin";"280 x 5";"0.54421768707483";"0.542857142857143";"0.529411764705882";"5";"0.00341906547546387";"1";"123456"
"COAD";"mirna";"280 x 803";"0.623287671232877";"0.5";"0.426229508196721";"1";"0.0089229146639506";"1";"123456"
"COAD";"mirna";"280 x 803";"0.623287671232877";"0.442857142857143";"0.235294117647059";"2";"0.00872278213500977";"1";"123456"
"COAD";"mirna";"281 x 803";"0.578231292517007";"0.492753623188406";"0.385964912280702";"3";"0.00877283414204915";"1";"123456"
"COAD";"mirna";"279 x 803";"0.595890410958904";"0.507042253521127";"0.363636363636364";"4";"0.0086060643196106";"1";"123456"
"COAD";"mirna";"280 x 803";"0.666666666666667";"0.528571428571429";"0.4";"5";"0.00883954763412476";"1";"123456"
"COAD";"mutation";"280 x 19787";"0.780821917808219";"0.571428571428571";"0.444444444444444";"1";"0.0529875675837199";"1";"123456"
"COAD";"mutation";"280 x 19787";"0.780821917808219";"0.614285714285714";"0.425531914893617";"2";"0.0451480825742086";"1";"123456"
"COAD";"mutation";"281 x 19787";"0.80952380952381";"0.550724637681159";"0.311111111111111";"3";"0.0455156524976095";"1";"123456"
"COAD";"mutation";"279 x 19787";"0.767123287671233";"0.47887323943662";"0.177777777777778";"4";"0.0440976500511169";"1";"123456"
"COAD";"mutation";"280 x 19787";"0.816326530612245";"0.557142857142857";"0.436363636363636";"5";"0.0449482639630636";"1";"123456"
"COAD";"cnv";"280 x 57965";"0.979452054794521";"0.985714285714286";"0.985074626865672";"1";"0.0535379528999329";"1";"123456"
"COAD";"cnv";"280 x 57965";"0.986301369863014";"0.985714285714286";"0.985074626865672";"2";"0.0471164504686991";"1";"123456"
"COAD";"cnv";"281 x 57965";"0.972789115646258";"0.985507246376812";"0.985074626865672";"3";"0.0480174342791239";"1";"123456"
"COAD";"cnv";"279 x 57965";"0.979452054794521";"1";"1";"4";"0.052186381816864";"1";"123456"
"COAD";"cnv";"280 x 57965";"0.986394557823129";"0.985714285714286";"0.985507246376812";"5";"0.0480004509290059";"1";"123456"
"COAD";"rna";"280 x 22211";"0.979452054794521";"0.957142857142857";"0.953846153846154";"1";"0.0371594826380412";"1";"123456"
"COAD";"rna";"280 x 22211";"0.972602739726027";"1";"1";"2";"0.0373599330584208";"1";"123456"
"COAD";"rna";"281 x 22211";"0.993197278911565";"0.985507246376812";"0.984615384615385";"3";"0.0384770631790161";"1";"123456"
"COAD";"rna";"279 x 22211";"0.979452054794521";"0.985915492957746";"0.985074626865672";"4";"0.0422130028406779";"1";"123456"
"COAD";"rna";"280 x 22211";"0.972789115646258";"0.985714285714286";"0.985074626865672";"5";"0.0368926008542379";"1";"123456"
"ESCA";"clin";"97 x 4";"0.987654320987654";"0.833333333333333";"0";"1";"0.00103373130162557";"1";"123456"
"ESCA";"clin";"97 x 4";"0.975308641975309";"0.666666666666667";"0.2";"2";"0.0012842337290446";"1";"123456"
"ESCA";"clin";"96 x 4";"0.975";"0.84";"0";"3";"0.00121748447418213";"1";"123456"
"ESCA";"clin";"97 x 4";"1";"0.833333333333333";"0";"4";"0.00136761665344238";"1";"123456"
