"Data";"fold";"Dim";"OOB_Acc";"Test_Acc";"Test_F1";"Time"
"BLCA_subset.RData";"1";"248 x 8641";"0.995967741935484";"1";"1";"0.0169120828310649"
"BLCA_subset.RData";"2";"248 x 8641";"0.987903225806452";"1";"1";"0.0155273993810018"
"BLCA_subset.RData";"3";"248 x 8641";"0.991935483870968";"0.983870967741935";"0.967741935483871";"0.0200806140899658"
"BLCA_subset.RData";"4";"248 x 8641";"0.991935483870968";"1";"1";"0.0145937164624532"
"BLCA_subset.RData";"5";"248 x 8641";"0.991935483870968";"0.983870967741935";"0.967741935483871";"0.0127256671587626"
"COAD_subset.RData";"1";"280 x 8615";"0.985714285714286";"0.985714285714286";"0.985074626865672";"0.0148435672124227"
"COAD_subset.RData";"2";"280 x 8615";"0.989285714285714";"0.985714285714286";"0.985074626865672";"0.0190305511156718"
"COAD_subset.RData";"3";"281 x 8615";"0.98576512455516";"0.985507246376812";"0.985074626865672";"0.0211483836174011"
"COAD_subset.RData";"4";"279 x 8615";"0.982078853046595";"1";"1";"0.0185965657234192"
"COAD_subset.RData";"5";"280 x 8615";"0.985714285714286";"0.985714285714286";"0.985507246376812";"0.0149269819259644"
"ESCA_subset.RData";"1";"97 x 8624";"0.845360824742268";"0.833333333333333";"0";"0.007321564356486"
"ESCA_subset.RData";"2";"97 x 8624";"0.835051546391753";"0.833333333333333";"0";"0.00708846648534139"
"ESCA_subset.RData";"3";"96 x 8624";"0.833333333333333";"0.84";"0";"0.00742160081863403"
"ESCA_subset.RData";"4";"97 x 8624";"0.855670103092783";"0.833333333333333";"0";"0.00672146876653036"
"ESCA_subset.RData";"5";"97 x 8624";"0.835051546391753";"0.875";"0.4";"0.00718811353047689"
"HNSC_subset.RData";"1";"330 x 8311";"0.990909090909091";"1";"1";"0.0163118998209635"
"HNSC_subset.RData";"2";"329 x 8311";"0.990881458966565";"0.98780487804878";"0.976744186046512";"0.0158782839775085"
"HNSC_subset.RData";"3";"329 x 8311";"0.990881458966565";"1";"1";"0.0225493987401327"
"HNSC_subset.RData";"4";"328 x 8311";"0.990853658536585";"0.987951807228916";"0.977777777777778";"0.0187630534172058"
"HNSC_subset.RData";"5";"328 x 8311";"0.99390243902439";"1";"1";"0.0157615184783936"
"KIRC_subset.RData";"1";"258 x 7914";"0.996124031007752";"1";"1";"0.0128087639808655"
"KIRC_subset.RData";"2";"258 x 7914";"0.996124031007752";"1";"1";"0.0125086029370626"
"KIRC_subset.RData";"3";"258 x 7914";"0.996124031007752";"0.984375";"0.977777777777778";"0.012675400575002"
"KIRC_subset.RData";"4";"257 x 7914";"0.996108949416342";"1";"1";"0.0130590001742045"
"KIRC_subset.RData";"5";"257 x 7914";"0.992217898832685";"1";"1";"0.0125423153241475"
"KIRP_subset.RData";"1";"200 x 9238";"0.99";"0.979591836734694";"0.962962962962963";"0.0132093985875448"
"KIRP_subset.RData";"2";"199 x 9238";"0.979899497487437";"1";"1";"0.0120586037635803"
"KIRP_subset.RData";"3";"199 x 9238";"0.984924623115578";"1";"1";"0.0159944136937459"
"KIRP_subset.RData";"4";"199 x 9238";"0.974874371859296";"0.94";"0.903225806451613";"0.0117246866226196"
"KIRP_subset.RData";"5";"199 x 9238";"0.984924623115578";"1";"1";"0.0116752664248149"
"LIHC_subset.RData";"1";"239 x 8031";"0.97907949790795";"1";"1";"0.0158782839775085"
"LIHC_subset.RData";"2";"238 x 8031";"0.974789915966387";"0.983333333333333";"0.974358974358974";"0.0121256033579508"
"LIHC_subset.RData";"3";"239 x 8031";"0.98326359832636";"0.983050847457627";"0.974358974358974";"0.0121249834696452"
"LIHC_subset.RData";"4";"238 x 8031";"0.983193277310924";"0.966666666666667";"0.95";"0.0124088525772095"
"LIHC_subset.RData";"5";"238 x 8031";"0.978991596638655";"0.966666666666667";"0.95";"0.0122920831044515"
"LGG_subset.RData";"1";"363 x 7907";"0.994490358126722";"0.989010989010989";"0.987951807228916";"0.0197637677192688"
"LGG_subset.RData";"2";"363 x 7907";"0.994490358126722";"0.989010989010989";"0.987951807228916";"0.0161451816558838"
"LGG_subset.RData";"3";"363 x 7907";"0.991735537190083";"1";"1";"0.0162114818890889"
