"Data";"Block";"fold";"Dim";"OOB_Acc";"Test_Acc";"Test_F1";"Time"
"BLCA_subset.RData";"mirna";"1";"248 x 413";"0.754032258064516";"0.758064516129032";"0";"0.00550390084584554"
"BLCA_subset.RData";"mirna";"2";"248 x 413";"0.762096774193548";"0.758064516129032";"0";"0.00583720207214355"
"BLCA_subset.RData";"mirna";"3";"248 x 413";"0.758064516129032";"0.758064516129032";"0";"0.00507024923960368"
"BLCA_subset.RData";"mirna";"4";"248 x 413";"0.75";"0.758064516129032";"0";"0.00585414965947469"
"BLCA_subset.RData";"mirna";"5";"248 x 413";"0.754032258064516";"0.758064516129032";"0";"0.0052703857421875"
"BLCA_subset.RData";"mutation";"1";"248 x 1866";"0.709677419354839";"0.774193548387097";"0.3";"0.0134095509847005"
"BLCA_subset.RData";"mutation";"2";"248 x 1866";"0.729838709677419";"0.790322580645161";"0.380952380952381";"0.0132427493731181"
"BLCA_subset.RData";"mutation";"3";"248 x 1866";"0.693548387096774";"0.758064516129032";"0.285714285714286";"0.0137597799301147"
"BLCA_subset.RData";"mutation";"4";"248 x 1866";"0.709677419354839";"0.693548387096774";"0";"0.0122420310974121"
"BLCA_subset.RData";"mutation";"5";"248 x 1866";"0.754032258064516";"0.645161290322581";"0";"0.0131927172342936"
"BLCA_subset.RData";"rna";"1";"248 x 3463";"0.770161290322581";"0.758064516129032";"0";"0.011574931939443"
"BLCA_subset.RData";"rna";"2";"248 x 3463";"0.782258064516129";"0.758064516129032";"0";"0.0128091335296631"
"BLCA_subset.RData";"rna";"3";"248 x 3463";"0.778225806451613";"0.758064516129032";"0";"0.0121082981427511"
"BLCA_subset.RData";"rna";"4";"248 x 3463";"0.778225806451613";"0.806451612903226";"0.333333333333333";"0.0115248839060465"
"BLCA_subset.RData";"rna";"5";"248 x 3463";"0.774193548387097";"0.758064516129032";"0";"0.0121586640675863"
"BLCA_subset.RData";"cnv";"1";"248 x 2899";"0.987903225806452";"1";"1";"0.00778883298238118"
"BLCA_subset.RData";"cnv";"2";"248 x 2899";"0.983870967741935";"1";"1";"0.0081221342086792"
"BLCA_subset.RData";"cnv";"3";"248 x 2899";"0.991935483870968";"0.983870967741935";"0.967741935483871";"0.00717144807179769"
"BLCA_subset.RData";"cnv";"4";"248 x 2899";"0.991935483870968";"0.983870967741935";"0.967741935483871";"0.0105741500854492"
"BLCA_subset.RData";"cnv";"5";"248 x 2899";"0.991935483870968";"0.983870967741935";"0.967741935483871";"0.0070716659228007"
"BLCA_subset.RData";"clin";"1";"248 x 4";"0.665322580645161";"0.709677419354839";"0.25";"0.00321894884109497"
"BLCA_subset.RData";"clin";"2";"248 x 4";"0.637096774193548";"0.709677419354839";"0.181818181818182";"0.00315226713816325"
"BLCA_subset.RData";"clin";"3";"248 x 4";"0.669354838709677";"0.629032258064516";"0.258064516129032";"0.00301883220672607"
"BLCA_subset.RData";"clin";"4";"248 x 4";"0.673387096774194";"0.645161290322581";"0.214285714285714";"0.00305216709772746"
"BLCA_subset.RData";"clin";"5";"248 x 4";"0.616935483870968";"0.741935483870968";"0.2";"0.00328566630681356"
"COAD_subset.RData";"mirna";"1";"280 x 402";"0.507142857142857";"0.471428571428571";"0.350877192982456";"0.00815579891204834"
"COAD_subset.RData";"mirna";"2";"280 x 402";"0.482142857142857";"0.457142857142857";"0.344827586206897";"0.00803903341293335"
"COAD_subset.RData";"mirna";"3";"281 x 402";"0.459074733096085";"0.478260869565217";"0.357142857142857";"0.00730516910552978"
"COAD_subset.RData";"mirna";"4";"279 x 402";"0.498207885304659";"0.563380281690141";"0.474576271186441";"0.00620439847310384"
"COAD_subset.RData";"mirna";"5";"280 x 402";"0.492857142857143";"0.585714285714286";"0.508474576271187";"0.00673778454462687"
"COAD_subset.RData";"mutation";"1";"280 x 1980";"0.528571428571429";"0.542857142857143";"0.428571428571429";"0.0166451533635457"
"COAD_subset.RData";"mutation";"2";"280 x 1980";"0.464285714285714";"0.6";"0.5";"0.0197307149569194"
"COAD_subset.RData";"mutation";"3";"281 x 1980";"0.505338078291815";"0.478260869565217";"0.333333333333333";"0.016261347134908"
"COAD_subset.RData";"mutation";"4";"279 x 1980";"0.530465949820789";"0.535211267605634";"0.352941176470588";"0.0163282990455627"
"COAD_subset.RData";"mutation";"5";"280 x 1980";"0.571428571428571";"0.428571428571429";"0.354838709677419";"0.016144863764445"
"COAD_subset.RData";"rna";"1";"280 x 3333";"0.946428571428571";"0.914285714285714";"0.90625";"0.0143267512321472"
"COAD_subset.RData";"rna";"2";"280 x 3333";"0.882142857142857";"0.914285714285714";"0.90625";"0.0144933144251506"
"COAD_subset.RData";"rna";"3";"281 x 3333";"0.903914590747331";"0.942028985507246";"0.935483870967742";"0.0140766501426697"
"COAD_subset.RData";"rna";"4";"279 x 3333";"0.89247311827957";"0.901408450704225";"0.892307692307692";"0.0140933156013489"
"COAD_subset.RData";"rna";"5";"280 x 3333";"0.864285714285714";"0.9";"0.888888888888889";"0.0191136360168457"
"COAD_subset.RData";"cnv";"1";"280 x 2899";"0.989285714285714";"0.971428571428571";"0.970588235294118";"0.00970681508382162"
"COAD_subset.RData";"cnv";"2";"280 x 2899";"0.985714285714286";"0.985714285714286";"0.985074626865672";"0.00937331914901733"
"COAD_subset.RData";"cnv";"3";"281 x 2899";"0.98576512455516";"0.985507246376812";"0.985074626865672";"0.0100571672121684"
"COAD_subset.RData";"cnv";"4";"279 x 2899";"0.982078853046595";"1";"1";"0.00917318264643351"
"COAD_subset.RData";"cnv";"5";"280 x 2899";"0.985714285714286";"0.985714285714286";"0.985507246376812";"0.00822251637776693"
"COAD_subset.RData";"clin";"1";"280 x 5";"0.564285714285714";"0.642857142857143";"0.59016393442623";"0.00450321435928345"
"COAD_subset.RData";"clin";"2";"280 x 5";"0.482142857142857";"0.557142857142857";"0.550724637681159";"0.00435308615366618"
"COAD_subset.RData";"clin";"3";"281 x 5";"0.558718861209964";"0.492753623188406";"0.385964912280702";"0.00371933380762736"
"COAD_subset.RData";"clin";"4";"279 x 5";"0.541218637992832";"0.52112676056338";"0.46875";"0.00413628419240316"
"COAD_subset.RData";"clin";"5";"280 x 5";"0.557142857142857";"0.557142857142857";"0.537313432835821";"0.00406958262125651"
"ESCA_subset.RData";"mirna";"1";"97 x 383";"0.835051546391753";"0.833333333333333";"0";"0.00341910123825073"
"ESCA_subset.RData";"mirna";"2";"97 x 383";"0.835051546391753";"0.833333333333333";"0";"0.0023683508237203"
"ESCA_subset.RData";"mirna";"3";"96 x 383";"0.833333333333333";"0.84";"0";"0.00235166549682617"
"ESCA_subset.RData";"mirna";"4";"97 x 383";"0.835051546391753";"0.791666666666667";"0";"0.00226828257242839"
"ESCA_subset.RData";"mirna";"5";"97 x 383";"0.824742268041237";"0.833333333333333";"0";"0.00206811428070068"
"ESCA_subset.RData";"mutation";"1";"97 x 1517";"0.835051546391753";"0.791666666666667";"0";"0.00497021675109863"
"ESCA_subset.RData";"mutation";"2";"97 x 1517";"0.824742268041237";"0.833333333333333";"0";"0.0041363000869751"
"ESCA_subset.RData";"mutation";"3";"96 x 1517";"0.822916666666667";"0.84";"0";"0.00391945044199626"
