"Data";"Block";"Dim";"OOB";"Test";"Time"
"BLCA";"cnv";"248 x 291";"0.983599130157633";"0.951612903225806";"0.0153108517328898"
"COAD";"cnv";"280 x 291";"0.991683790486492";"0.985714285714286";"0.0202646851539612"
"ESCA";"cnv";"97 x 291";"0.842951167848614";"0.791666666666667";"0.00643791357676188"
"HNSC";"cnv";"329 x 291";"0.988156921349633";"0.98780487804878";"0.0273527344067891"
"KIRC";"cnv";"258 x 291";"0.986562248748382";"1";"0.021898885567983"
"KIRP";"cnv";"199 x 291";"0.973727433995483";"1";"0.0132598161697388"
"LIHC";"cnv";"238 x 291";"0.98598672674298";"0.95";"0.0147604823112488"
"LGG";"cnv";"363 x 291";"0.998241301005806";"0.989010989010989";"0.0266022165616353"
"LUAD";"cnv";"339 x 291";"0.964366329836728";"0.988235294117647";"0.0336405833562215"
"LUSC";"cnv";"292 x 291";"0.989512331322006";"1";"0.0184965173403422"
"PAAD";"cnv";"114 x 291";"0.948159980392346";"1";"0.00857286850611369"
"SARC";"cnv";"146 x 291";"0.939205292107657";"0.945945945945946";"0.0116085847218831"
"SKCM";"cnv";"211 x 291";"0.942433985917768";"0.924528301886792";"0.0176629861195882"
"STAD";"cnv";"227 x 291";"0.63175543876264";"0.543859649122807";"0.0234166344006856"
