"Data";"Dim";"OOB";"Test";"Time"
"BLCA";"248 x 10052";"0.99165156757889";"0.967741935483871";"1.97144574721654"
"COAD";"280 x 10077";"0.991809331530688";"0.985714285714286";"2.0108102162679"
"ESCA";"97 x 9938";"0.908596785909803";"1";"1.57403351465861"
"HNSC";"329 x 9812";"0.990038084732971";"0.98780487804878";"2.0177655339241"
"KIRC";"258 x 9368";"0.999927674401902";"1";"1.73252973556519"
"KIRP";"199 x 10269";"0.989438830699873";"1";"1.92231401602427"
"LIHC";"238 x 9566";"0.987307415336553";"0.95";"1.71965341567993"
"LGG";"363 x 9430";"0.999782238450009";"0.989010989010989";"1.9150926510493"
"LUAD";"339 x 10142";"0.996572591528517";"1";"2.23058315118154"
"LUSC";"292 x 10122";"0.988314216936215";"1";"2.14085286458333"
"PAAD";"114 x 9381";"0.98042625403792";"1";"1.41762288411458"
"SARC";"146 x 9407";"0.976368700392587";"0.972972972972973";"1.54067685206731"
"SKCM";"211 x 10071";"0.983168801057835";"1";"1.92308160066605"
"STAD";"227 x 10394";"0.980767387851144";"0.982456140350877";"2.15125979979833"
