"Data";"Dim";"OOB";"Test";"Time"
"BLCA";"248 x 2583";"0.727887224066009";"0.854838709677419";"0.226010584831238"
"COAD";"280 x 2673";"0.864861931213769";"0.928571428571429";"0.251228551069895"
"ESCA";"97 x 2288";"0.842745682285624";"0.791666666666667";"0.065913466612498"
"HNSC";"329 x 2460";"0.748875344973044";"0.817073170731707";"0.270375867684682"
"KIRC";"258 x 1907";"0.880878031369344";"0.921875";"0.137348031997681"
"KIRP";"199 x 2092";"0.736422317815127";"0.8";"0.128390967845917"
"LIHC";"238 x 2254";"0.72055818190096";"0.7";"0.193437886238098"
"LGG";"363 x 2019";"0.954201967272925";"0.989010989010989";"0.215686933199565"
"LUAD";"339 x 2628";"0.748818537733417";"0.752941176470588";"0.34753026564916"
"LUSC";"292 x 2620";"0.888125304969843";"0.904109589041096";"0.341742885112762"
"PAAD";"114 x 1967";"0.562111521763905";"0.535714285714286";"0.0749532659848531"
"SARC";"146 x 1956";"0.748440921108106";"0.837837837837838";"0.0818751811981201"
"SKCM";"211 x 2664";"0.884209054164578";"0.905660377358491";"0.227228232224782"
"STAD";"227 x 2703";"0.949685500632822";"0.964912280701754";"0.21957258383433"
