"Data";"Dim";"OOB";"Test";"Time"
"BLCA";"248 x 3974";"0.982662350481638";"0.983870967741935";"0.387458165486654"
"COAD";"280 x 4064";"0.98770305709859";"0.985714285714286";"0.402652617295583"
"ESCA";"97 x 3679";"0.845023821356156";"0.791666666666667";"0.172972949345907"
"HNSC";"329 x 3851";"0.984577865793697";"0.98780487804878";"0.431456331411997"
"KIRC";"258 x 3298";"0.994194398590601";"1";"0.279515302181244"
"KIRP";"199 x 3483";"0.986231403690548";"1";"0.230646963914235"
"LIHC";"238 x 3645";"0.980505198076575";"0.95";"0.286553100744883"
"LGG";"363 x 3410";"0.997547902626979";"0.989010989010989";"0.374899248282115"
"LUAD";"339 x 4019";"0.994555800114391";"0.988235294117647";"0.460360129674276"
"LUSC";"292 x 4011";"0.986380092698026";"1";"0.403469431400299"
"PAAD";"114 x 3358";"0.972189554399687";"1";"0.148955885569255"
"SARC";"146 x 3347";"0.879807728244131";"0.972972972972973";"0.194938631852468"
"SKCM";"211 x 4055";"0.966732981955577";"0.981132075471698";"0.348980800310771"
"STAD";"227 x 4094";"0.962517789418986";"0.982456140350877";"0.386224234104157"
