"Data";"Dim";"OOB";"Test";"Time"
"BLCA";"248 x 6000";"0.994429204564377";"0.951612903225806";"0.763157816727956"
"COAD";"280 x 6068";"0.992102848699765";"0.985714285714286";"0.82705348332723"
"ESCA";"97 x 5766";"0.847719471356981";"0.791666666666667";"0.524371882279714"
"HNSC";"329 x 5838";"0.986292087716205";"0.98780487804878";"0.815517135461171"
"KIRC";"258 x 5322";"0.997326164920777";"1";"0.591169281800588"
"KIRP";"199 x 5745";"0.989514977656297";"1";"0.502406334877014"
"LIHC";"238 x 5619";"0.98664062808693";"0.95";"0.545987168947856"
"LGG";"363 x 5417";"0.997253557396563";"0.989010989010989";"0.854272516568502"
"LUAD";"339 x 6060";"0.996481336343524";"1";"0.886362282435099"
"LUSC";"292 x 6048";"0.986941175816832";"1";"0.84443256855011"
"PAAD";"114 x 5365";"0.977835134275904";"1";"0.41059121688207"
"SARC";"146 x 5367";"0.961432126562129";"0.972972972972973";"0.446550035476685"
"SKCM";"211 x 6060";"0.975630403906031";"0.981132075471698";"0.66171928246816"
"STAD";"227 x 6193";"0.979436380196083";"0.982456140350877";"0.692841299374898"
