"Data";"Block";"Dim";"OOB";"Test";"Time"
"BLCA";"mirna";"248 x 83";"0.727149431011167";"0.870967741935484";"0.0268028179804484"
"BLCA";"mutation";"248 x 1866";"0.682378047557642";"0.82258064516129";"1.10405158599218"
"BLCA";"cnv";"248 x 5797";"0.991431840563475";"0.967741935483871";"1.80910248359044"
"BLCA";"rna";"248 x 2309";"0.76422834153261";"0.870967741935484";"0.661020084222158"
"COAD";"mirna";"280 x 81";"0.538283560717091";"0.514285714285714";"0.0342580000559489"
"COAD";"mutation";"280 x 1980";"0.511558371629962";"0.571428571428571";"1.43258456786474"
"COAD";"cnv";"280 x 5797";"0.99271896521589";"0.985714285714286";"2.00967786709468"
"COAD";"rna";"280 x 2222";"0.968719877497328";"0.957142857142857";"0.695544679959615"
"ESCA";"mirna";"97 x 77";"0.820604478663872";"0.791666666666667";"0.00742238362630208"
"ESCA";"mutation";"97 x 1517";"0.832824868973662";"0.791666666666667";"0.187700080871582"
"ESCA";"cnv";"97 x 5797";"0.92763550196704";"1";"1.28574723005295"
"ESCA";"rna";"97 x 2550";"0.841323450966653";"0.791666666666667";"0.269625329971313"
"HNSC";"mirna";"329 x 80";"0.716698075761884";"0.804878048780488";"0.04548233350118"
"HNSC";"mutation";"329 x 1785";"0.704809621693799";"0.768292682926829";"1.76522128582001"
"HNSC";"cnv";"329 x 5797";"0.988842002841355";"0.98780487804878";"2.1136856675148"
"HNSC";"rna";"329 x 2153";"0.887882722033145";"0.914634146341463";"0.794114633401235"
"KIRC";"mirna";"258 x 73";"0.641242412165253";"0.6875";"0.0261691172917684"
"KIRC";"mutation";"258 x 1203";"0.614661138204435";"0.65625";"1.20048673550288"
"KIRC";"cnv";"258 x 5797";"0.999829275985548";"1";"1.97618734836578"
"KIRC";"rna";"258 x 2298";"0.96016286359894";"0.984375";"0.679032965501149"
"KIRP";"mirna";"199 x 60";"0.739674949228622";"0.76";"0.0154948631922404"
"KIRP";"mutation";"199 x 1162";"0.706019841893315";"0.76";"0.711972502867381"
"KIRP";"cnv";"199 x 5797";"0.989502458282583";"1";"1.62263669967651"
"KIRP";"rna";"199 x 3253";"0.762650056462763";"0.76";"0.83059063355128"
"LIHC";"mirna";"238 x 79";"0.708186439822776";"0.6";"0.0164616664250692"
"LIHC";"mutation";"238 x 1593";"0.639131133941657";"0.666666666666667";"1.07117821772893"
"LIHC";"cnv";"238 x 5797";"0.985249239749878";"0.95";"1.81090335051219"
"LIHC";"rna";"238 x 2100";"0.857268582920747";"0.883333333333333";"0.672452553113302"
"LGG";"mirna";"363 x 65";"0.527352186099775";"0.516483516483517";"0.040962815284729"
"LGG";"mutation";"363 x 1340";"0.587614482044125";"0.604395604395604";"3.82389940023422"
"LGG";"cnv";"363 x 5797";"0.999774347969406";"0.989010989010989";"2.57866898377736"
"LGG";"rna";"363 x 2231";"0.946487330187279";"0.989010989010989";"1.16857385238012"
"LUAD";"mirna";"339 x 81";"0.549702285893583";"0.505882352941176";"0.044682232538859"
"LUAD";"mutation";"339 x 1898";"0.601352904092858";"0.541176470588235";"1.98101116418838"
"LUAD";"cnv";"339 x 5797";"0.997021863203536";"1";"2.55572128693263"
"LUAD";"rna";"339 x 2369";"0.971621790046124";"1";"1.14466689825058"
"LUSC";"mirna";"292 x 91";"0.694892437344787";"0.767123287671233";"0.0441143314043681"
"LUSC";"mutation";"292 x 1884";"0.724651472841384";"0.671232876712329";"1.35014261404673"
"LUSC";"cnv";"292 x 5797";"0.989015582139125";"1";"2.38062478303909"
"LUSC";"rna";"292 x 2353";"0.781124806355304";"0.780821917808219";"0.930027468999227"
"PAAD";"mirna";"114 x 62";"0.578470175387076";"0.571428571428571";"0.00907316605250041"
"PAAD";"mutation";"114 x 1289";"0.576594831086267";"0.642857142857143";"0.293608566125234"
"PAAD";"cnv";"114 x 5797";"0.981037793551309";"1";"1.53023688395818"
"PAAD";"rna";"114 x 2236";"0.745320358381461";"0.928571428571429";"0.322896099090576"
"SARC";"mirna";"146 x 79";"0.553471625471836";"0.621621621621622";"0.0189301331837972"
"SARC";"mutation";"146 x 1249";"0.491004329626159";"0.648648648648649";"0.502924450238546"
"SARC";"cnv";"146 x 5797";"0.982824956303711";"0.972972972972973";"1.68699905077616"
"SARC";"rna";"146 x 2285";"0.923583299001659";"1";"0.405254618326823"
"SKCM";"mirna";"211 x 101";"0.553524385549662";"0.584905660377358";"0.0270025491714478"
"SKCM";"mutation";"211 x 1950";"0.573925378251152";"0.584905660377358";"0.807473635673523"
"SKCM";"cnv";"211 x 5797";"0.982662955953068";"1";"2.00318996508916"
"SKCM";"rna";"211 x 2226";"0.922621164629875";"0.924528301886792";"0.581896817684174"
"STAD";"mirna";"227 x 80";"0.628127510096916";"0.508771929824561";"0.0269863168398539"
"STAD";"mutation";"227 x 1915";"0.671312983051854";"0.43859649122807";"1.23771113554637"
"STAD";"cnv";"227 x 5798";"0.982364132306828";"0.982456140350877";"2.07088803450267"
"STAD";"rna";"227 x 2604";"0.868626034492226";"0.842105263157895";"0.789628152052561"
