"Data";"Block";"Dim";"OOB";"Test";"Time"
"BLCA";"cnv";"248 x 581";"0.987417398240244";"0.951612903225806";"0.0365088820457459"
"COAD";"cnv";"280 x 581";"0.988436045919396";"0.971428571428571";"0.0398282170295715"
"ESCA";"cnv";"97 x 581";"0.838139816324194";"0.791666666666667";"0.0127593835194906"
"HNSC";"cnv";"329 x 581";"0.987230758156634";"0.98780487804878";"0.0452486634254456"
"KIRC";"cnv";"258 x 581";"0.997261063695713";"1";"0.0367424011230469"
"KIRP";"cnv";"199 x 581";"0.870638486435212";"0.86";"0.0304549336433411"
"LIHC";"cnv";"238 x 581";"0.885811011131112";"0.966666666666667";"0.0423630992571513"
"LGG";"cnv";"363 x 581";"0.99952486879881";"0.989010989010989";"0.0488680322964986"
"LUAD";"cnv";"339 x 581";"0.994617338055587";"0.988235294117647";"0.0531880021095276"
"LUSC";"cnv";"292 x 581";"0.985486282578964";"0.986301369863014";"0.0408790508906047"
"PAAD";"cnv";"114 x 581";"0.922497159519389";"1";"0.0175457676251729"
"SARC";"cnv";"146 x 581";"0.939738121121133";"0.972972972972973";"0.0269524812698364"
"SKCM";"cnv";"211 x 581";"0.806507627849943";"0.830188679245283";"0.0440145492553711"
"STAD";"cnv";"227 x 581";"0.962044114200648";"0.982456140350877";"0.0442647496859233"
