"Data";"Block";"Dim";"OOB";"Test";"Time"
"BLCA";"rna";"248 x 1155";"0.99111353489479";"1";"0.0815778017044067"
"BLCA";"cnv";"248 x 2899";"0.992059571209442";"0.951612903225806";"0.20211036602656"
"COAD";"rna";"280 x 1111";"0.557739695613671";"0.585714285714286";"0.128774766127268"
"COAD";"cnv";"280 x 2899";"0.99208643583717";"0.985714285714286";"0.234866567452749"
"ESCA";"rna";"97 x 1276";"0.879406458729472";"0.875";"0.0321730971336365"
"ESCA";"cnv";"97 x 2899";"0.936783376423589";"1";"0.100387899080912"
"HNSC";"rna";"329 x 1077";"0.726097980971852";"0.817073170731707";"0.136697049935659"
"HNSC";"cnv";"329 x 2899";"0.986798761409153";"0.98780487804878";"0.246925433476766"
"KIRC";"rna";"258 x 1150";"0.889781528175074";"0.9375";"0.0979525685310364"
"KIRC";"cnv";"258 x 2899";"0.999537141619628";"1";"0.200092033545176"
"KIRP";"rna";"199 x 1627";"0.788311274226075";"0.78";"0.108492946624756"
"KIRP";"cnv";"199 x 2899";"0.987958040143576";"1";"0.159012850125631"
"LIHC";"rna";"238 x 1051";"0.958512886368515";"0.95";"0.0788225491841634"
"LIHC";"cnv";"238 x 2899";"0.98531140397218";"0.95";"0.20846453110377"
"LGG";"rna";"363 x 1116";"0.870284119676932";"0.912087912087912";"0.199358069896698"
"LGG";"cnv";"363 x 2899";"0.999303469858727";"0.989010989010989";"0.331885349750519"
"LUAD";"rna";"339 x 1185";"0.96279039691095";"0.964705882352941";"0.141150518258413"
"LUAD";"cnv";"339 x 2899";"0.995217025181418";"1";"0.272459880510966"
"LUSC";"rna";"292 x 1177";"0.93779038849357";"0.972602739726027";"0.10901073217392"
"LUSC";"cnv";"292 x 2899";"0.987395189112513";"1";"0.217637733618418"
"PAAD";"rna";"114 x 1118";"0.734291466272828";"0.785714285714286";"0.0458155155181885"
"PAAD";"cnv";"114 x 2899";"0.972499439347605";"1";"0.175107498963674"
"SARC";"rna";"146 x 1143";"0.55319549575662";"0.648648648648649";"0.0717508514722188"
"SARC";"cnv";"146 x 2899";"0.987215685534988";"0.972972972972973";"0.187149365743001"
"SKCM";"rna";"211 x 1113";"0.705456497304125";"0.60377358490566";"0.112946800390879"
"SKCM";"cnv";"211 x 2899";"0.97170606253448";"0.981132075471698";"0.223308384418488"
"STAD";"rna";"227 x 1302";"0.792619935460653";"0.666666666666667";"0.115465180079142"
"STAD";"cnv";"227 x 2899";"0.985472218002639";"0.982456140350877";"0.198157199223836"
