"Data"	"Block"		"Dim"				"OOB"				"Test"				"Time"
"BLCA"	"mirna"		"248 x 826"			"0.733870967741935"	"0.870967741935484"	"0.0707507689793905"
"COAD"	"mirna"		"280 x 803"			"0.475"				"0.457142857142857"	"0.0840930342674255"
"ESCA"	"mirna"		"97 x 764"			"0.845360824742268"	"0.791666666666667"	"0.0188634514808655"
"HNSC"	"mirna"		"329 x 794"			"0.723404255319149"	"0.804878048780488"	"0.0965359687805176"
"KIRC"	"mirna"		"258 x 726"			"0.651162790697674"	"0.78125"			"0.0671979347864787"
"KIRC"	"mutation"	"258 x 12018"		"0.63953488372093"	"0.75"				"6.50293653408686"
"KIRP"	"mirna"		"199 x 594"			"0.748743718592965"	"0.76"				"0.0461293339729309"
"KIRP"	"mutation"	"199 x 11611"		"0.718592964824121"	"0.74"				"4.76454828580221"
"LIHC"	"mirna"		"238 x 777"			"0.714285714285714"	"0.633333333333333"	"0.0735358317693075"
"LGG"	"mirna"		"363 x 646"			"0.493112947658402"	"0.593406593406593"	"0.103574299812317"
"LUAD"	"mirna"		"339 x 800"			"0.592920353982301"	"0.505882352941176"	"0.123021133740743"
"LUSC"	"mirna"		"292 x 896"			"0.712328767123288"	"0.753424657534247"	"0.111880234877268"
"PAAD"	"mirna"		"114 x 613"			"0.614035087719298"	"0.5"				"0.023933466275533"
"READ"	"mirna"		"110 x 770"			"0.581818181818182"	"0.607142857142857"	"0.0318228324254354"
"SARC"	"mirna"		"146 x 779"			"0.561643835616438"	"0.72972972972973"	"0.0373933831850688"
"SARC"	"mutation"	"146 x 12479"		"0.568493150684932"	"0.702702702702703"	"4.0806800643603"
"SKCM"	"mirna"		"211 x 1003"		"0.587677725118483"	"0.490566037735849"	"0.0935998320579529"
"SKCM"	"mirna"		"211 x 1003"		"0.587677725118483"	"0.528301886792453"	"0.116950019200643"
"STAD"	"mirna"		"227 x 788"			"0.594713656387665"	"0.473684210526316"	"0.0802739183108012"
